rank,run_name,model,best_test_acc,best_test_macro_f1,best_test_event_synops,final_test_acc,final_test_macro_f1,final_test_event_synops,status
147,lif__id023__tau3__vth0p7__lr0p0005__a8__ig0p8__ls0p8,lif,0.9614,0.9611270521309786,79183685000.0,0.9611,0.960841802814516,79178696500.0,DONE
148,alif__id003__tau1p5__vth0p7__lr0p0005__a4__ig1p2__ls0p8,alif,0.9614,0.9610690243595748,76918846500.0,0.959,0.9586492136771778,76917499500.0,DONE
149,dynsrm__id032__tr4__trefr6__vth0p3__lr0p0005__a4__ig1p2__ls1,dynsrm,0.9603,0.9599570731739768,79207220500.0,0.959,0.9585976940690956,79143875000.0,DONE
150,alif__id022__tau2__vth0p3__lr0p0008__a4__ig1p5__ls1p2,alif,0.9599,0.9595189170993734,76812735000.0,0.9587,0.9582709399845146,76794507500.0,DONE
151,dynsrm__id001__tr4__trefr6__vth0p3__lr0p0005__a8__ig0p8__ls1p2,dynsrm,0.9599,0.9593365544770102,77775138500.0,0.9591,0.9585053509831236,77681885500.0,DONE
152,lif__id009__tau1p5__vth1__lr0p0005__a4__ig1__ls1,lif,0.9589,0.9585716584371496,76906324000.0,0.9568,0.9564435993748152,76902988500.0,DONE
153,lif__id034__tau2__vth0p5__lr0p0005__a6__ig1p5__ls0p8,lif,0.9586,0.9580947432384505,76886655000.0,0.9572,0.9566786792674732,76886972500.0,DONE
154,lif__id018__tau2p5__vth1__lr0p0008__a8__ig1__ls1p2,lif,0.9584,0.9578710920598312,77282184500.0,0.9584,0.9578710920598312,77282184500.0,DONE
155,alif__id011__tau2__vth0p3__lr0p0008__a8__ig1__ls1,alif,0.9563,0.9557474310329296,76468486500.0,0.9556,0.9550780844725242,76462387000.0,DONE
156,lif__id024__tau1p5__vth1__lr0p0008__a4__ig1__ls0p8,lif,0.9558,0.955395950960116,76870111000.0,0.9546,0.9541674751072676,76864591000.0,DONE
157,alif__id009__tau1p5__vth1__lr0p0005__a8__ig1__ls1p2,alif,0.9538,0.9533228888702608,76363981500.0,0.9529,0.95240140370238,76363835500.0,DONE
158,dynsrm__id014__tr3__trefr6__vth0p3__lr0p0005__a8__ig1p5__ls0p8,dynsrm,0.9518,0.9512408494222748,77827392500.0,0.9494,0.9488029120827232,77826364500.0,DONE
159,alif__id032__tau2p5__vth1__lr0p001__a8__ig0p8__ls0p8,alif,0.9427,0.9419982244649112,77382526500.0,0.9412,0.9405232663809292,77368394000.0,DONE
160,lif__id013__tau2p5__vth1__lr0p0005__a4__ig1__ls0p8,lif,0.9389,0.9382330875166072,81895081500.0,0.9366,0.9359396146359172,81874297500.0,DONE
161,alif__id005__tau1p5__vth1__lr0p0008__a8__ig0p8__ls1,alif,0.936,0.9351984713159098,76401851000.0,0.9356,0.934798104062356,76402075500.0,DONE
162,lif__id006__tau2p5__vth1__lr0p0008__a4__ig0p8__ls1p2,lif,0.9352,0.934444689135296,79256839500.0,0.9343,0.9335156931381494,79254367500.0,DONE
163,alif__id027__tau3__vth1__lr0p001__a4__ig0p8__ls1,alif,0.9318,0.9311705669831676,78470744000.0,0.9263,0.9254891085834788,78466462500.0,DONE
164,alif__id031__tau2p5__vth1__lr0p0008__a4__ig0p8__ls1,alif,0.9304,0.9295685839126342,78718059500.0,0.929,0.9280846185762284,78667047000.0,DONE
165,alif__id019__tau1p5__vth0p3__lr0p001__a8__ig1__ls1p2,alif,0.9271,0.9263882387818858,76235149500.0,0.9258,0.9250691428442837,76237256000.0,DONE
166,alif__id030__tau1p5__vth0p3__lr0p0005__a4__ig1p5__ls1,alif,0.9267,0.9256692653262768,76362075000.0,0.9255,0.9244564076995054,76361970500.0,DONE
167,alif__id008__tau1p5__vth0p3__lr0p0005__a8__ig1p2__ls0p8,alif,0.9083,0.907600871289324,76296916500.0,0.9074,0.9066273748561116,76297093000.0,DONE
168,lif__id025__tau4__vth1__lr0p001__a4__ig0p8__ls0p8,lif,0.7004,0.671688293141365,77890624500.0,0.6995,0.6708634188692523,77890498000.0,DONE
