run_name,model,best_test_acc,best_test_macro_f1,best_test_event_synops,final_test_acc,final_test_macro_f1,final_test_event_synops,csv_path,summary_path,best_model_path,final_model_path,status
lif__id017__tau2p5__vth0p5__lr0p0005__a4__ig1p5__ls1p2,lif,0.9712,0.9709490181912476,78164510000.0,0.969,0.9687537684655848,77964094500.0,./result/fintune/runs/lif__id017__tau2p5__vth0p5__lr0p0005__a4__ig1p5__ls1p2/MNIST_lif_FF_v2_20260413_223842.csv,./result/fintune/runs/lif__id017__tau2p5__vth0p5__lr0p0005__a4__ig1p5__ls1p2/MNIST_lif_FF_v2_20260413_223842_summary.json,./result/fintune/runs/lif__id017__tau2p5__vth0p5__lr0p0005__a4__ig1p5__ls1p2/MNIST_lif_FF_v2_20260413_223842_best_model.pth,./result/fintune/runs/lif__id017__tau2p5__vth0p5__lr0p0005__a4__ig1p5__ls1p2/MNIST_lif_FF_v2_20260413_223842_final_model.pth,DONE
lif__id019__tau4__vth0p5__lr0p0005__a6__ig1p5__ls1,lif,0.9753,0.9751197329283632,78863424000.0,0.9735,0.9733695461289822,78854533000.0,./result/fintune/runs/lif__id019__tau4__vth0p5__lr0p0005__a6__ig1p5__ls1/MNIST_lif_FF_v2_20260413_230518.csv,./result/fintune/runs/lif__id019__tau4__vth0p5__lr0p0005__a6__ig1p5__ls1/MNIST_lif_FF_v2_20260413_230518_summary.json,./result/fintune/runs/lif__id019__tau4__vth0p5__lr0p0005__a6__ig1p5__ls1/MNIST_lif_FF_v2_20260413_230518_best_model.pth,./result/fintune/runs/lif__id019__tau4__vth0p5__lr0p0005__a6__ig1p5__ls1/MNIST_lif_FF_v2_20260413_230518_final_model.pth,DONE
lif__id018__tau2p5__vth1__lr0p0008__a8__ig1__ls1p2,lif,0.9584,0.9578710920598312,77282184500.0,0.9584,0.9578710920598312,77282184500.0,./result/fintune/runs/lif__id018__tau2p5__vth1__lr0p0008__a8__ig1__ls1p2/MNIST_lif_FF_v2_20260413_230518.csv,./result/fintune/runs/lif__id018__tau2p5__vth1__lr0p0008__a8__ig1__ls1p2/MNIST_lif_FF_v2_20260413_230518_summary.json,./result/fintune/runs/lif__id018__tau2p5__vth1__lr0p0008__a8__ig1__ls1p2/MNIST_lif_FF_v2_20260413_230518_best_model.pth,./result/fintune/runs/lif__id018__tau2p5__vth1__lr0p0008__a8__ig1__ls1p2/MNIST_lif_FF_v2_20260413_230518_final_model.pth,DONE
lif__id021__tau3__vth0p5__lr0p0005__a6__ig0p8__ls0p8,lif,0.973,0.972842266863724,79506665000.0,0.9721,0.971909717198434,79500424000.0,./result/fintune/runs/lif__id021__tau3__vth0p5__lr0p0005__a6__ig0p8__ls0p8/MNIST_lif_FF_v2_20260413_233202.csv,./result/fintune/runs/lif__id021__tau3__vth0p5__lr0p0005__a6__ig0p8__ls0p8/MNIST_lif_FF_v2_20260413_233202_summary.json,./result/fintune/runs/lif__id021__tau3__vth0p5__lr0p0005__a6__ig0p8__ls0p8/MNIST_lif_FF_v2_20260413_233202_best_model.pth,./result/fintune/runs/lif__id021__tau3__vth0p5__lr0p0005__a6__ig0p8__ls0p8/MNIST_lif_FF_v2_20260413_233202_final_model.pth,DONE
lif__id020__tau3__vth0p3__lr0p0008__a4__ig1__ls0p8,lif,0.9774,0.9771519405227896,78883516500.0,0.9763,0.9760911892250952,78749146000.0,./result/fintune/runs/lif__id020__tau3__vth0p3__lr0p0008__a4__ig1__ls0p8/MNIST_lif_FF_v2_20260413_233202.csv,./result/fintune/runs/lif__id020__tau3__vth0p3__lr0p0008__a4__ig1__ls0p8/MNIST_lif_FF_v2_20260413_233202_summary.json,./result/fintune/runs/lif__id020__tau3__vth0p3__lr0p0008__a4__ig1__ls0p8/MNIST_lif_FF_v2_20260413_233202_best_model.pth,./result/fintune/runs/lif__id020__tau3__vth0p3__lr0p0008__a4__ig1__ls0p8/MNIST_lif_FF_v2_20260413_233202_final_model.pth,DONE
lif__id022__tau4__vth0p3__lr0p0008__a8__ig1p5__ls0p8,lif,0.9704,0.9701157709167896,77516154500.0,0.969,0.9686864166973426,77408010000.0,./result/fintune/runs/lif__id022__tau4__vth0p3__lr0p0008__a8__ig1p5__ls0p8/MNIST_lif_FF_v2_20260413_235850.csv,./result/fintune/runs/lif__id022__tau4__vth0p3__lr0p0008__a8__ig1p5__ls0p8/MNIST_lif_FF_v2_20260413_235850_summary.json,./result/fintune/runs/lif__id022__tau4__vth0p3__lr0p0008__a8__ig1p5__ls0p8/MNIST_lif_FF_v2_20260413_235850_best_model.pth,./result/fintune/runs/lif__id022__tau4__vth0p3__lr0p0008__a8__ig1p5__ls0p8/MNIST_lif_FF_v2_20260413_235850_final_model.pth,DONE
lif__id023__tau3__vth0p7__lr0p0005__a8__ig0p8__ls0p8,lif,0.9614,0.9611270521309786,79183685000.0,0.9611,0.960841802814516,79178696500.0,./result/fintune/runs/lif__id023__tau3__vth0p7__lr0p0005__a8__ig0p8__ls0p8/MNIST_lif_FF_v2_20260413_235850.csv,./result/fintune/runs/lif__id023__tau3__vth0p7__lr0p0005__a8__ig0p8__ls0p8/MNIST_lif_FF_v2_20260413_235850_summary.json,./result/fintune/runs/lif__id023__tau3__vth0p7__lr0p0005__a8__ig0p8__ls0p8/MNIST_lif_FF_v2_20260413_235850_best_model.pth,./result/fintune/runs/lif__id023__tau3__vth0p7__lr0p0005__a8__ig0p8__ls0p8/MNIST_lif_FF_v2_20260413_235850_final_model.pth,DONE
lif__id024__tau1p5__vth1__lr0p0008__a4__ig1__ls0p8,lif,0.9558,0.955395950960116,76870111000.0,0.9546,0.9541674751072676,76864591000.0,./result/fintune/runs/lif__id024__tau1p5__vth1__lr0p0008__a4__ig1__ls0p8/MNIST_lif_FF_v2_20260414_002613.csv,./result/fintune/runs/lif__id024__tau1p5__vth1__lr0p0008__a4__ig1__ls0p8/MNIST_lif_FF_v2_20260414_002613_summary.json,./result/fintune/runs/lif__id024__tau1p5__vth1__lr0p0008__a4__ig1__ls0p8/MNIST_lif_FF_v2_20260414_002613_best_model.pth,./result/fintune/runs/lif__id024__tau1p5__vth1__lr0p0008__a4__ig1__ls0p8/MNIST_lif_FF_v2_20260414_002613_final_model.pth,DONE
lif__id025__tau4__vth1__lr0p001__a4__ig0p8__ls0p8,lif,0.7004,0.671688293141365,77890624500.0,0.6995,0.6708634188692523,77890498000.0,./result/fintune/runs/lif__id025__tau4__vth1__lr0p001__a4__ig0p8__ls0p8/MNIST_lif_FF_v2_20260414_002613.csv,./result/fintune/runs/lif__id025__tau4__vth1__lr0p001__a4__ig0p8__ls0p8/MNIST_lif_FF_v2_20260414_002613_summary.json,./result/fintune/runs/lif__id025__tau4__vth1__lr0p001__a4__ig0p8__ls0p8/MNIST_lif_FF_v2_20260414_002613_best_model.pth,./result/fintune/runs/lif__id025__tau4__vth1__lr0p001__a4__ig0p8__ls0p8/MNIST_lif_FF_v2_20260414_002613_final_model.pth,DONE
lif__id026__tau2__vth0p5__lr0p001__a6__ig1__ls0p8,lif,0.9704,0.970105812812074,76756315000.0,0.9684,0.9680827323646284,76736113500.0,./result/fintune/runs/lif__id026__tau2__vth0p5__lr0p001__a6__ig1__ls0p8/MNIST_lif_FF_v2_20260414_005315.csv,./result/fintune/runs/lif__id026__tau2__vth0p5__lr0p001__a6__ig1__ls0p8/MNIST_lif_FF_v2_20260414_005315_summary.json,./result/fintune/runs/lif__id026__tau2__vth0p5__lr0p001__a6__ig1__ls0p8/MNIST_lif_FF_v2_20260414_005315_best_model.pth,./result/fintune/runs/lif__id026__tau2__vth0p5__lr0p001__a6__ig1__ls0p8/MNIST_lif_FF_v2_20260414_005315_final_model.pth,DONE
