epoch,train_loss,test_loss,train_acc,train_macro_f1,test_acc,test_macro_f1,best_test_acc,mean_total_spikes,mean_spike_rate,mean_event_synops_est,mean_dense_synops_est,mean_event_to_dense_ratio,mean_input_events,latency_mean_all,latency_mean_correct,latency_std_correct,train_speed_samples_per_s,test_speed_samples_per_s,train_time_sec,test_time_sec,epoch_time_sec,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,lr,tau_mean,tau_response_mean,tau_refractory_mean
1,0.06149895259967217,0.057420547753572464,0.767845219017094,0.7601519869500881,0.848,0.8440954430882226,0.848,1172.8466796875,0.07257714867591858,1590119.875,22575998.0,0.0704340785741806,2437.564453125,2.8085999488830566,2.4563679695129395,1.6699994802474976,2159.180783613078,2168.6230944618706,27.78831696510315,4.611220836639404,32.40303683280945,0.46313861608505247,0.4611220836639404,1807.11328125,1968.53125,101.7451171875,134.0,82.57861328125,134.0,0.0009997532801828658,nan,2.1947325070699057,8.748281478881836
2,0.05268814940897063,0.04234597705602646,0.8447182158119658,0.8414676882338428,0.8751,0.8730050057939861,0.8751,1130.757080078125,0.06997259706258774,1541546.375,22575998.0,0.06828252226114273,2437.564453125,2.8471999168395996,2.3420181274414062,1.7218718528747559,2170.6878308858986,2321.2402383122208,27.641008138656616,4.30804181098938,31.952192068099976,0.46068346897761026,0.430804181098938,1984.328125,1984.17578125,102.7353515625,134.0,82.57861328125,134.0,0.0009990133642141358,nan,2.4473578135172525,7.594707171122233
3,0.030024048149920046,0.017860664409399034,0.9058994391025641,0.9048051649391204,0.9347,0.9341199096946206,0.9347,829.0046997070312,0.051299799233675,1458053.25,22575998.0,0.06458421051502228,2437.564453125,2.8571999073028564,2.4991977214813232,2.4731087684631348,2167.487343610444,2321.221097385379,27.681822538375854,4.308077335357666,32.006025314331055,0.4613637089729309,0.4308077335357666,1977.80859375,1986.078125,102.7353515625,134.0,82.57861328125,134.0,0.00099778098230154,nan,2.8045829137166343,6.532471179962158
4,0.015030390025777185,0.013046601760387421,0.9404714209401709,0.9399913096135952,0.9474,0.946904502211177,0.9474,626.965576171875,0.03879737854003906,1391024.5,22575998.0,0.06161518394947052,2437.564453125,2.8808999061584473,2.6340510845184326,2.124185800552368,1990.7784056542741,1964.3319287395402,30.138964653015137,5.090789318084717,35.24497652053833,0.5023160775502523,0.5090789318084716,1986.55859375,1986.30078125,102.7353515625,134.0,82.57861328125,134.0,0.000996057350657239,nan,3.0583671728769937,6.075821399688721
5,0.011703478372417008,0.011432109540700912,0.9495526175213675,0.94916005974149,0.9494,0.9488488600956767,0.9494,588.021728515625,0.03638748452067375,1381945.375,22575998.0,0.06121303141117096,2437.564453125,2.9147000312805176,2.6737940311431885,2.0181069374084473,1902.205772907605,2003.385638733977,31.54232883453369,4.9915502071380615,36.53774404525757,0.5257054805755615,0.49915502071380613,1993.1015625,1977.96484375,102.7353515625,134.0,82.57861328125,134.0,0.0009938441702975688,nan,3.251429557800293,5.843320846557617
6,0.01022246286758564,0.009067734557390213,0.9527744391025641,0.9524142969612857,0.9575,0.9569727516529895,0.9575,547.913330078125,0.033905528485774994,1372339.0,22575998.0,0.060787517577409744,2437.564453125,2.7790000438690186,2.5897650718688965,1.7319180965423584,2139.269801228602,2332.7428113876094,28.046953201293945,4.286799192428589,32.33715105056763,0.46744922002156575,0.42867991924285886,1986.51171875,1979.53515625,102.7353515625,134.0,82.57861328125,134.0,0.0009911436253643444,nan,3.4253148237864175,5.687240282694499
7,0.009399577256881146,0.009041250159591436,0.9549779647435898,0.9546294377238583,0.9547,0.9540177880611044,0.9575,527.7258911132812,0.03265630453824997,1363067.5,22575998.0,0.060376837849617004,2437.564453125,2.75819993019104,2.5611186027526855,1.7108176946640015,2129.2957420573102,2444.7623713408816,28.178330898284912,4.09037709236145,32.272337198257446,0.46963884830474856,0.409037709236145,1987.1875,1986.39453125,102.7353515625,134.0,82.57861328125,134.0,0.0009879583809693736,nan,3.5924179553985596,5.569661299387614
8,0.008708869237412944,0.00879492207467556,0.9580495459401709,0.9577313368439049,0.956,0.9557055577661512,0.9575,485.30841064453125,0.030031463131308556,1354369.375,22575998.0,0.05999155715107918,2437.564453125,2.8315999507904053,2.629288673400879,1.6553514003753662,2170.841298323305,2326.0099830392146,27.6390540599823,4.29920768737793,31.941769123077393,0.460650900999705,0.42992076873779295,1975.65625,1978.4765625,102.7353515625,134.0,82.57861328125,134.0,0.0009842915805643154,nan,3.755711634953817,5.475561062494914
9,0.0084808546752255,0.0072946095302701,0.9575487446581197,0.9571798886481095,0.9617,0.9613028504342418,0.9617,483.9512023925781,0.029947476461529732,1352324.25,22575998.0,0.05990096926689148,2437.564453125,2.680999994277954,2.5177290439605713,1.5638378858566284,2164.808805684195,2408.6312563811325,27.716073513031006,4.151735544204712,31.8707377910614,0.46193455855051674,0.4151735544204712,1987.2109375,1986.078125,102.7353515625,134.0,82.57861328125,134.0,0.0009801468428384714,nan,3.9175734519958496,5.3975028196970625
10,0.008054221519089948,0.007529765783250332,0.9591179220085471,0.9587995839968027,0.9602,0.9597347470090611,0.9617,456.3734130859375,0.028240926563739777,1346752.5,22575998.0,0.05965416878461838,2437.564453125,2.7018001079559326,2.539158582687378,1.576348900794983,2160.0268351264776,2274.2242361378076,27.777432680130005,4.397103786468506,32.18931841850281,0.4629572113355001,0.4397103786468506,1981.62890625,1985.6640625,102.7353515625,134.0,82.57861328125,134.0,0.0009755282581475767,nan,4.081081390380859,5.3303749561309814
11,0.008009860181134257,0.006662461081892252,0.9583834134615384,0.9579845059415272,0.9678,0.9676150270607176,0.9678,459.5596923828125,0.02843809872865677,1345092.625,22575998.0,0.05958064645528793,2437.564453125,2.67330002784729,2.5564165115356445,1.5097224712371826,1994.9675193218743,1929.406415643969,30.075677633285522,5.182941198348999,35.273831367492676,0.501261293888092,0.5182941198348999,1990.359375,1976.921875,102.7353515625,134.0,82.57861328125,134.0,0.0009704403844771127,nan,4.243006547292073,5.272841612497966
12,0.007775122618191263,0.007046679809689522,0.959251469017094,0.9588760911641178,0.9628,0.962285066026328,0.9678,441.90240478515625,0.02734544686973095,1340541.375,22575998.0,0.05937905237078667,2437.564453125,2.7014999389648438,2.5682384967803955,1.5022544860839844,1789.0046165613296,1750.6778793756835,33.53820300102234,5.712073087692261,39.2541708946228,0.558970050017039,0.5712073087692261,1974.4765625,1978.29296875,102.7353515625,134.0,82.57861328125,134.0,0.0009648882429441257,nan,4.406635204950969,5.222042560577393
13,0.007647920391944229,0.006566640705615282,0.9596854967948718,0.9593453778084962,0.9654,0.965125120094989,0.9678,434.3916931152344,0.026880675926804543,1336135.375,22575998.0,0.059183891862630844,2437.564453125,2.7172000408172607,2.5855603218078613,1.4541122913360596,2194.494605343249,2157.3265244799722,27.34114718437195,4.635366916656494,31.992444038391113,0.4556857864061991,0.4635366916656494,1975.44921875,1980.5625,102.7353515625,134.0,82.57861328125,134.0,0.0009588773128419905,nan,4.5729765097300215,5.176770289738973
14,0.007693266385119472,0.007787890748679638,0.9591846955128205,0.9588318563378883,0.9582,0.9581289817927263,0.9678,418.6647033691406,0.025907468050718307,1330743.0,22575998.0,0.058945029973983765,2437.564453125,2.8227999210357666,2.6548736095428467,1.5831397771835327,2210.583952242901,2148.092620228516,27.142149448394775,4.655292749404907,31.800728797912598,0.45236915747324624,0.46552927494049073,1987.19921875,1986.29296875,102.7353515625,134.0,82.57861328125,134.0,0.0009524135262330098,nan,4.736813147862752,5.137446562449138
15,0.00766756771526371,0.008734218905121088,0.9594017094017094,0.959059816733687,0.9489,0.9482291116601813,0.9678,429.8865051269531,0.026601888239383698,1329926.125,22575998.0,0.0589088499546051,2437.564453125,2.6635000705718994,2.4939403533935547,1.327811598777771,2190.9077337407407,2162.893806104694,27.38590908050537,4.6234354972839355,32.01232671737671,0.45643181800842286,0.46234354972839353,1989.76171875,1983.80078125,102.7353515625,134.0,82.57861328125,134.0,0.0009455032620941839,nan,4.902372360229492,5.102152029673259
16,0.0075004774406472715,0.006855390714854002,0.9607538728632479,0.9603980708267631,0.9659,0.9656586468082196,0.9678,410.7597961425781,0.025418303906917572,1321747.0,22575998.0,0.05854656919836998,2437.564453125,2.683199882507324,2.5651724338531494,1.4756091833114624,2172.3684846811557,2210.9071526359967,27.61962366104126,4.5230302810668945,32.14556360244751,0.4603270610173543,0.45230302810668943,1991.0625,1990.59765625,102.7353515625,134.0,82.57861328125,134.0,0.0009381533400219318,nan,5.0689568519592285,5.0703043937683105
17,0.007480406283966115,0.006490546993538737,0.9600527510683761,0.9596907915685104,0.9646,0.9642515779663497,0.9678,419.5846862792969,0.0259644016623497,1322383.0,22575998.0,0.058574724942445755,2437.564453125,2.638700008392334,2.5312047004699707,1.386380672454834,2113.3692027484403,2269.659514059668,28.390685319900513,4.405947208404541,32.80026936531067,0.47317808866500854,0.4405947208404541,1978.1171875,1981.3828125,102.7353515625,134.0,82.57861328125,134.0,0.0009303710135019719,nan,5.232260783513387,5.04230539004008
18,0.007486444570096289,0.00675613291412592,0.9601028311965812,0.9597517871979016,0.964,0.9637324809575478,0.9678,401.5841979980469,0.02485050819814205,1318926.375,22575998.0,0.05842160806059837,2437.564453125,2.716099977493286,2.60207462310791,1.4278483390808105,2192.459836914556,2285.025169956178,27.36652183532715,4.376319408416748,31.74590301513672,0.4561086972554525,0.4376319408416748,1983.12890625,1978.1328125,102.7353515625,134.0,82.57861328125,134.0,0.0009221639627510076,nan,5.398681640625,5.016708493232727
19,0.007514960275322167,0.007136250158399343,0.9591846955128205,0.9588116428698914,0.9605,0.9600308017735364,0.9678,397.9175109863281,0.024623608216643333,1318079.125,22575998.0,0.05838408321142197,2437.564453125,2.7028000354766846,2.557938575744629,1.3826849460601807,2146.971489382522,2103.2633471446306,27.94634222984314,4.754516363143921,32.704002380371094,0.4657723704973857,0.4754516363143921,1978.828125,1982.6171875,102.7353515625,134.0,82.57861328125,134.0,0.000913540287137281,nan,5.562014977137248,4.994000673294067
20,0.007307851539315799,0.008909804837405682,0.9610376602564102,0.960652211465938,0.95,0.9492861792373348,0.9678,397.8627014160156,0.024620216339826584,1316026.75,22575998.0,0.0582931824028492,2437.564453125,2.7507998943328857,2.5743157863616943,1.3983649015426636,2008.0703512251796,1967.605170701771,29.87943124771118,5.08232045173645,34.96509051322937,0.49799052079518635,0.5082320451736451,1991.51171875,1986.46875,102.7353515625,134.0,82.57861328125,134.0,0.0009045084971874739,nan,5.728287537892659,4.973024964332581
21,0.007394702757338587,0.00847113292887807,0.9602697649572649,0.9598908393220391,0.9559,0.9553486073394784,0.9678,409.2213134765625,0.02532310225069523,1317433.875,22575998.0,0.058355506509542465,2437.564453125,2.7300000190734863,2.5609374046325684,1.4029340744018555,2170.997166003303,2266.2482245902097,27.637069702148438,4.412579298019409,32.05272698402405,0.4606178283691406,0.4412579298019409,1977.25390625,1986.0,102.7353515625,134.0,82.57861328125,134.0,0.0008950775061878452,nan,5.886922995249431,4.954541285832723
22,0.007414871732740162,0.0075680860877037045,0.9594851762820513,0.9591054117662215,0.9582,0.9581528508433653,0.9678,413.1780090332031,0.02556794509291649,1317416.875,22575998.0,0.05835475027561188,2437.564453125,2.716099977493286,2.569505214691162,1.3580164909362793,2122.6413136871492,2284.5558279866127,28.266669273376465,4.37721848487854,32.659024715423584,0.4711111545562744,0.437721848487854,1990.6171875,1990.72265625,102.7353515625,134.0,82.57861328125,134.0,0.0008852566213878947,nan,6.0479787190755205,4.937577207883199
23,0.007382410954540739,0.007526211113482713,0.9599692841880342,0.9596085273600321,0.9588,0.9584330863641233,0.9678,402.1028137207031,0.024882599711418152,1314456.625,22575998.0,0.05822363123297691,2437.564453125,2.6742000579833984,2.520233631134033,1.311396837234497,2000.4271783692263,2015.036250248018,29.99359369277954,4.9626898765563965,34.95977330207825,0.49989322821299237,0.49626898765563965,1978.24609375,1979.29296875,102.7353515625,134.0,82.57861328125,134.0,0.0008750555348152298,nan,6.207077423731486,4.922151565551758
