run_id,dataset,method,epoch,model,hidden_dim,num_layers,T,split_by,val_ratio,tau,v_threshold,v_reset,tau_response,tau_refractory,input_gain,lr,weight_decay,train_loss,train_acc,train_macro_precision,train_macro_recall,train_macro_f1,test_loss,test_acc,test_macro_precision,test_macro_recall,test_macro_f1,best_test_acc,best_test_macro_f1,train_time_sec,test_time_sec,epoch_time_sec,train_speed,test_speed,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,test_confusion_path,best_test_confusion_path,final_test_confusion_path,best_model_path,final_model_path,layer_0_loss,layer_1_loss,layer_2_loss,train_total_spikes,train_global_spike_rate,train_dense_synops,train_event_synops,train_energy_proxy_synops,train_event_to_dense_ratio,train_layer_0_spike_count,train_layer_0_spike_rate,train_layer_0_active_input_rate,train_layer_0_dense_synops,train_layer_0_event_synops,train_layer_0_event_to_dense_ratio,train_layer_1_spike_count,train_layer_1_spike_rate,train_layer_1_active_input_rate,train_layer_1_dense_synops,train_layer_1_event_synops,train_layer_1_event_to_dense_ratio,train_layer_2_spike_count,train_layer_2_spike_rate,train_layer_2_active_input_rate,train_layer_2_dense_synops,train_layer_2_event_synops,train_layer_2_event_to_dense_ratio,test_total_spikes,test_global_spike_rate,test_dense_synops,test_event_synops,test_energy_proxy_synops,test_event_to_dense_ratio,test_layer_0_spike_count,test_layer_0_spike_rate,test_layer_0_active_input_rate,test_layer_0_dense_synops,test_layer_0_event_synops,test_layer_0_event_to_dense_ratio,test_layer_1_spike_count,test_layer_1_spike_rate,test_layer_1_active_input_rate,test_layer_1_dense_synops,test_layer_1_event_synops,test_layer_1_event_to_dense_ratio,test_layer_2_spike_count,test_layer_2_spike_rate,test_layer_2_active_input_rate,test_layer_2_dense_synops,test_layer_2_event_synops,test_layer_2_event_to_dense_ratio
20260426_211900,shd,bp,1,dynsrm,500,2,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.046200109155554524,0.15652412280701755,0.1931944030809411,0.1574395205093015,0.15563864677059697,0.043751684985324446,0.3112745098039216,0.37349722240478617,0.31778974346753974,0.31281478280718716,0.3112745098039216,0.31281478280718716,10.81898307800293,2.1098663806915283,17.594393491744995,674.3702201396515,386.7543496913527,1.4828650052087349,2.5856205645729515,1426.68359375,1462.85546875,103.755859375,122.0,99.123046875,178.0,,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_best_eval_confusion.csv,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_final_eval_confusion.csv,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_best_model.pth,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_final_model.pth,0.0,0.0,0.0,16304442.0,0.10954459333075335,89011200000.0,22688787920.0,22688787920.0,0.25489812428098935,10822539.0,0.1483352384868421,0.33621647869674187,51072000000.0,17171248000.0,0.33621647869674187,5313521.0,0.07282786458333333,0.1483352384868421,36480000000.0,5411269500.0,0.1483352384868421,168382.0,0.057696683114035086,0.07282786458333333,1459200000.0,106270420.0,0.07282786458333333,1871782.0,0.11244365148019993,9955200000.0,2515587260.0,2515587260.0,0.25269078069752493,1156844.0,0.1417700980392157,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,696413.0,0.08534473039215686,0.1417700980392157,4080000000.0,578422000.0,0.1417700980392157,18525.0,0.05675551470588235,0.08534473039215686,163200000.0,13928260.0,0.08534473039215686
20260426_211900,shd,bp,2,dynsrm,500,2,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.04184056354457872,0.38459429824561403,0.40423680203324397,0.3864647811918107,0.3737128783268872,0.0400704664050364,0.46691176470588236,0.5186281080727182,0.4741217322344637,0.45021959595475813,0.46691176470588236,0.45021959595475813,10.949848413467407,1.9920449256896973,17.33057475090027,666.310593946353,409.6293158235273,1.5008015917581425,2.4412315265805113,1488.8125,1483.39453125,103.9111328125,178.0,99.123046875,178.0,,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_best_eval_confusion.csv,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_final_eval_confusion.csv,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_best_model.pth,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_final_model.pth,0.0,0.0,0.0,18116849.0,0.12172160544590643,89011200000.0,22810876760.0,22810876760.0,0.2562697363927236,10992615.0,0.15066632401315788,0.33629527921365915,51072000000.0,17175272500.0,0.33629527921365915,6964838.0,0.0954610471491228,0.15066632401315788,36480000000.0,5496307500.0,0.15066632401315788,159396.0,0.054617598684210525,0.0954610471491228,1459200000.0,139296760.0,0.0954610471491228,2179523.0,0.13093059159938486,9955200000.0,2587301500.0,2587301500.0,0.2598944772581164,1293428.0,0.15850833333333333,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,867525.0,0.10631433823529411,0.15850833333333333,4080000000.0,646714000.0,0.15850833333333333,18570.0,0.056893382352941176,0.10631433823529411,163200000.0,17350500.0,0.10631433823529411
20260426_211900,shd,bp,3,dynsrm,500,2,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.0386151835453092,0.549890350877193,0.5790662188314373,0.5518731938267896,0.540898119554982,0.03763649057523877,0.5955882352941176,0.6304304316444815,0.5891098364999006,0.5755597163637864,0.5955882352941176,0.5755597163637864,10.49709415435791,1.5724925994873047,15.280665636062622,695.0494958617702,518.9213610709828,1.4387464575600206,1.9270742640775793,1483.81640625,1486.41015625,103.9111328125,178.0,99.123046875,178.0,,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_best_eval_confusion.csv,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_final_eval_confusion.csv,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_best_model.pth,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_final_model.pth,0.0,0.0,0.0,20208875.0,0.1357772926879085,89011200000.0,23315030820.0,23315030820.0,0.2619336759868421,11958916.0,0.16391058114035087,0.3362653410870927,51072000000.0,17173743500.0,0.3362653410870927,8091466.0,0.11090276864035088,0.16391058114035087,36480000000.0,5979458000.0,0.16391058114035087,158493.0,0.054308182565789474,0.11090276864035088,1459200000.0,161829320.0,0.11090276864035088,2339253.0,0.1405260596885813,9955200000.0,2626657160.0,2626657160.0,0.26384775393764065,1368719.0,0.16773517156862744,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,953033.0,0.11679325980392156,0.16773517156862744,4080000000.0,684359500.0,0.16773517156862744,17501.0,0.05361825980392157,0.11679325980392156,163200000.0,19060660.0,0.11679325980392156
20260426_211900,shd,bp,4,dynsrm,500,2,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.036041324729459326,0.6620065789473685,0.6843779350239043,0.664272592954165,0.6571793124879581,0.035356005105902165,0.6727941176470589,0.702092178281749,0.6712614822540593,0.6677223513733587,0.6727941176470589,0.6677223513733587,9.331092357635498,2.150960922241211,16.054229974746704,781.9020239393288,379.3653299613469,1.278932614807497,2.635981522354425,1484.98046875,1484.1484375,103.9111328125,178.0,99.123046875,178.0,,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_best_eval_confusion.csv,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_final_eval_confusion.csv,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_best_model.pth,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_final_model.pth,0.0,0.0,0.0,21300779.0,0.143113463998538,89011200000.0,23541872180.0,23541872180.0,0.2644821346077797,12378748.0,0.16966485745614035,0.33633331375313286,51072000000.0,17177215000.0,0.33633331375313286,8764159.0,0.1201227933114035,0.16966485745614035,36480000000.0,6189374000.0,0.16966485745614035,157872.0,0.054095394736842106,0.1201227933114035,1459200000.0,175283180.0,0.1201227933114035,2446878.0,0.14699142156862746,9955200000.0,2650927760.0,2650927760.0,0.2662857360977178,1414818.0,0.1733845588235294,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,1014088.0,0.12427549019607843,0.1733845588235294,4080000000.0,707409000.0,0.1733845588235294,17972.0,0.05506127450980392,0.12427549019607843,163200000.0,20281760.0,0.12427549019607843
20260426_211900,shd,bp,5,dynsrm,500,2,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.033744775281663524,0.7376644736842105,0.7541431274129635,0.739386974446332,0.7345838162347552,0.03350107218412792,0.7291666666666666,0.7431532664317919,0.7249398200403445,0.7250822074514313,0.7291666666666666,0.7250822074514313,10.77009654045105,2.1952428817749023,17.620975971221924,677.4312535265765,371.7128554541746,1.47616454775919,2.690248629626106,1485.98046875,1486.0703125,103.9111328125,178.0,99.123046875,178.0,,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_best_eval_confusion.csv,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_final_eval_confusion.csv,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_best_model.pth,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_final_model.pth,0.0,0.0,0.0,22245082.0,0.1494579490239078,89011200000.0,23709959260.0,23709959260.0,0.266370515845197,12691134.0,0.1739464638157895,0.3363183544799499,51072000000.0,17176451000.0,0.3363183544799499,9397063.0,0.12879746436403508,0.1739464638157895,36480000000.0,6345567000.0,0.1739464638157895,156885.0,0.05375719572368421,0.12879746436403508,1459200000.0,187941260.0,0.12879746436403508,2541998.0,0.15270556997308726,9955200000.0,2667278780.0,2667278780.0,0.2679281963195114,1444918.0,0.1770732843137255,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,1079139.0,0.13224742647058824,0.1770732843137255,4080000000.0,722459000.0,0.1770732843137255,17941.0,0.054966299019607846,0.13224742647058824,163200000.0,21582780.0,0.13224742647058824
20260426_211900,shd,bp,6,dynsrm,500,2,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.031763774849343715,0.7989309210526315,0.810520358373647,0.8003462162635238,0.7967900015880398,0.03227696195244789,0.7659313725490197,0.7803396653043704,0.7628208618128501,0.7608236707249489,0.7659313725490197,0.7608236707249489,10.232555150985718,1.95717453956604,16.516603708267212,713.0183900643003,416.9275573045876,1.4024883704750162,2.3984982102525,1486.34375,1486.328125,103.9111328125,178.0,99.123046875,178.0,,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_best_eval_confusion.csv,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_final_eval_confusion.csv,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_best_model.pth,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_final_model.pth,0.0,0.0,0.0,22880559.0,0.1537275259610423,89011200000.0,23810477580.0,23810477580.0,0.2674997930597498,12870341.0,0.17640270010964912,0.3363528939536341,51072000000.0,17178215000.0,0.3363528939536341,9854604.0,0.1350685855263158,0.17640270010964912,36480000000.0,6435170500.0,0.17640270010964912,155614.0,0.05332168311403509,0.1350685855263158,1459200000.0,197092080.0,0.1350685855263158,2580870.0,0.15504072952710496,9955200000.0,2667809640.0,2667809640.0,0.2679815212150434,1444388.0,0.17700833333333332,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,1118932.0,0.13712401960784315,0.17700833333333332,4080000000.0,722194000.0,0.17700833333333332,17550.0,0.05376838235294118,0.13712401960784315,163200000.0,22378640.0,0.13712401960784315
20260426_211900,shd,bp,7,dynsrm,500,2,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.029985676797335607,0.8345668859649122,0.8441597300344921,0.8359278588549062,0.8332322220006461,0.030859068474348855,0.7879901960784313,0.8000001899372539,0.7830877586146013,0.7853735130643662,0.7879901960784313,0.7853735130643662,10.114337682723999,1.3266620635986328,15.585920810699463,721.352225807339,615.0775109876602,1.3862853183558113,1.625811352449305,1506.63671875,1501.63671875,103.9111328125,178.0,99.123046875,178.0,,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_best_eval_confusion.csv,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_final_eval_confusion.csv,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_best_model.pth,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_final_model.pth,0.0,0.0,0.0,23246115.0,0.1561835856875645,89011200000.0,23822685680.0,23822685680.0,0.26763694546304284,12889763.0,0.17666890076754385,0.3362665550595238,51072000000.0,17173805500.0,0.3362665550595238,10199934.0,0.1398017269736842,0.17666890076754385,36480000000.0,6444881500.0,0.17666890076754385,156418.0,0.05359717653508772,0.1398017269736842,1459200000.0,203998680.0,0.1398017269736842,2625719.0,0.15773494569396387,9955200000.0,2671860180.0,2671860180.0,0.2683883980231437,1450950.0,0.1778125,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,1157409.0,0.14183933823529413,0.1778125,4080000000.0,725475000.0,0.1778125,17360.0,0.05318627450980392,0.14183933823529413,163200000.0,23148180.0,0.14183933823529413
20260426_211900,shd,bp,8,dynsrm,500,2,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.028413496911525726,0.8675986842105263,0.8737552640144631,0.8687039282904656,0.8671261068544244,0.02968994977281374,0.8382352941176471,0.8450021813281744,0.8356608212552115,0.8366745122515203,0.8382352941176471,0.8366745122515203,10.479522943496704,2.0446159839630127,16.94218897819519,696.2148982676441,399.09694847360714,1.4363381227380352,2.5056568430919275,1508.84765625,1502.85546875,103.9111328125,178.0,99.123046875,178.0,,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_best_eval_confusion.csv,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_final_eval_confusion.csv,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_best_model.pth,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_final_model.pth,0.0,0.0,0.0,23543628.0,0.15818248516511868,89011200000.0,23849661440.0,23849661440.0,0.26794000575208515,12927491.0,0.17718600603070175,0.3363228285557644,51072000000.0,17176679500.0,0.3363228285557644,10461822.0,0.14339120065789474,0.17718600603070175,36480000000.0,6463745500.0,0.17718600603070175,154315.0,0.05287657620614035,0.14339120065789474,1459200000.0,209236440.0,0.14339120065789474,2636662.0,0.15839232506728182,9955200000.0,2659402960.0,2659402960.0,0.2671370700739312,1424538.0,0.17457573529411766,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,1194848.0,0.14642745098039214,0.17457573529411766,4080000000.0,712269000.0,0.17457573529411766,17276.0,0.05292892156862745,0.14642745098039214,163200000.0,23896960.0,0.14642745098039214
20260426_211900,shd,bp,9,dynsrm,500,2,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.02700243272671574,0.8867872807017544,0.8916977751174254,0.8876452862791204,0.8860323802791873,0.028941788034988383,0.8394607843137255,0.8499253406716903,0.8392849735363569,0.8389297800996127,0.8394607843137255,0.8389297800996127,10.151397466659546,2.0669853687286377,16.617419004440308,718.7187797505132,394.7778307216106,1.391364784355749,2.533070304814507,1509.21875,1503.41015625,103.9111328125,178.0,99.123046875,178.0,,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_best_eval_confusion.csv,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_final_eval_confusion.csv,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_best_model.pth,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_final_model.pth,0.0,0.0,0.0,23804806.0,0.15993726081441348,89011200000.0,23865169720.0,23865169720.0,0.2681142341637906,12955668.0,0.17757220394736842,0.3362594963972431,51072000000.0,17173445000.0,0.3362594963972431,10694536.0,0.14658081140350876,0.17757220394736842,36480000000.0,6477834000.0,0.17757220394736842,154602.0,0.052974917763157894,0.14658081140350876,1459200000.0,213890720.0,0.14658081140350876,2709667.0,0.16277795799692427,9955200000.0,2680660580.0,2680660580.0,0.2692723983445837,1465773.0,0.17962904411764705,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,1226854.0,0.15034975490196079,0.17962904411764705,4080000000.0,732886500.0,0.17962904411764705,17040.0,0.05220588235294118,0.15034975490196079,163200000.0,24537080.0,0.15034975490196079
20260426_211900,shd,bp,10,dynsrm,500,2,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.025747652279964665,0.9046052631578947,0.9081861002404992,0.9054581283836942,0.9043052752502125,0.027883884807427723,0.8431372549019608,0.8643786283415199,0.8439796474063609,0.8422625023557444,0.8431372549019608,0.8422625023557444,11.00834345817566,2.114633798599243,17.401485443115234,662.7700187335106,385.88241639783087,1.5088190046841639,2.591462988479465,1502.265625,1502.16796875,103.9111328125,178.0,99.123046875,178.0,,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_best_eval_confusion.csv,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_final_eval_confusion.csv,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_best_model.pth,./result/dynsrm/SHD_dynsrm_BP_20260426_211900_final_model.pth,0.0,0.0,0.0,24171484.0,0.16240085891812867,89011200000.0,23924990680.0,23924990680.0,0.26878629520779407,13057378.0,0.17896625548245615,0.3363307193765664,51072000000.0,17177082500.0,0.3363307193765664,10960959.0,0.15023244243421052,0.17896625548245615,36480000000.0,6528689000.0,0.17896625548245615,153147.0,0.05247635690789473,0.15023244243421052,1459200000.0,219219180.0,0.15023244243421052,2677952.0,0.1608727412533641,9955200000.0,2666708280.0,2666708280.0,0.26787088958534233,1438038.0,0.17623014705882353,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,1222614.0,0.14983014705882353,0.17623014705882353,4080000000.0,719019000.0,0.17623014705882353,17300.0,0.053002450980392156,0.14983014705882353,163200000.0,24452280.0,0.14983014705882353
