model,epochs,best_test_acc,best_test_f1,final_test_acc,final_test_f1,final_test_speed,final_test_latency_ms,final_test_cpu_mem_mb,final_test_gpu_mem_mb,final_test_spike_rate,final_test_event_dense_ratio
dynsrm,100,0.9849,0.9847591593589144,0.9845,0.9843857214706776,2083.8192037794183,0.4798880815505981,1444.234375,127.02587890625,0.1948502745098039,0.1928078115869017
srm,100,0.9836,0.9835050143395544,0.9827,0.9825239081133106,2710.4725871143105,0.3689393520355224,1410.8203125,127.01611328125,0.1973670784313725,0.1928401047858942
alif,100,0.9828,0.98265233855773,0.98,0.979908051607358,2234.661564150784,0.4474950551986694,1461.578125,127.02001953125,0.1834018431372549,0.1926608685138539
lif,100,0.9805,0.980322750834091,0.9773,0.9771876811473514,1856.7894046543777,0.5385640382766723,1453.4296875,127.01611328125,0.1701277450980392,0.1924903964735516
