run_id,dataset,method,epoch,model,hidden_dim,num_layers,T,split_by,val_ratio,tau,v_threshold,v_reset,tau_response,tau_refractory,input_gain,lr,weight_decay,alpha,label_scale,train_acc,train_macro_precision,train_macro_recall,train_macro_f1,test_acc,test_macro_precision,test_macro_recall,test_macro_f1,best_test_acc,best_test_macro_f1,train_time_sec,test_time_sec,epoch_time_sec,train_speed,test_speed,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,test_confusion_path,best_test_confusion_path,final_test_confusion_path,best_model_path,final_model_path,layer_0_loss,layer_1_loss,train_total_spikes,train_global_spike_rate,train_dense_synops,train_event_synops,train_energy_proxy_synops,train_event_to_dense_ratio,train_layer_0_spike_count,train_layer_0_spike_rate,train_layer_0_active_input_rate,train_layer_0_dense_synops,train_layer_0_event_synops,train_layer_0_event_to_dense_ratio,train_layer_1_spike_count,train_layer_1_spike_rate,train_layer_1_active_input_rate,train_layer_1_dense_synops,train_layer_1_event_synops,train_layer_1_event_to_dense_ratio,test_total_spikes,test_global_spike_rate,test_dense_synops,test_event_synops,test_energy_proxy_synops,test_event_to_dense_ratio,test_layer_0_spike_count,test_layer_0_spike_rate,test_layer_0_active_input_rate,test_layer_0_dense_synops,test_layer_0_event_synops,test_layer_0_event_to_dense_ratio,test_layer_1_spike_count,test_layer_1_spike_rate,test_layer_1_active_input_rate,test_layer_1_dense_synops,test_layer_1_event_synops,test_layer_1_event_to_dense_ratio
20260426_192629,shd,ff,1,dynsrm,500,2,10,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,6.0,1.0,0.14522879464285715,0.1651308255112943,0.1449754420096184,0.13859104641292733,0.13602941176470587,0.18334045420575562,0.13779943040023895,0.1351016526584023,0.13602941176470587,0.1351016526584023,9.20539379119873,2.1568410396575928,21.25712752342224,778.6739125547588,378.3310800361733,1.2842346248882157,2.643187548599991,1490.58984375,1507.23828125,201.69482421875,308.0,157.40771484375,336.0,,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_best_eval_confusion.csv,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_final_eval_confusion.csv,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_best_model.pth,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_final_model.pth,0.2807834909430572,0.028359870642556677,227132972.0,0.15843538783482142,860160000000.0,307051302500.0,307051302500.0,0.35696998523530504,173956505.0,0.24268485630580358,0.438602220184949,501760000000.0,220073050000.0,0.438602220184949,53176467.0,0.07418591936383928,0.24268485630580358,358400000000.0,86978252500.0,0.24268485630580358,25780812.0,0.1579706617647059,97920000000.0,34992277500.0,34992277500.0,0.357355775122549,19731935.0,0.24181292892156864,0.43988637955182075,57120000000.0,25126310000.0,0.43988637955182075,6048877.0,0.07412839460784314,0.24181292892156864,40800000000.0,9865967500.0,0.24181292892156864
20260426_192629,shd,ff,2,dynsrm,500,2,10,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,6.0,1.0,0.21079799107142858,0.2294588186402442,0.2105859144242924,0.20926414343947547,0.20588235294117646,0.22802301310113576,0.19955419927069107,0.2028398003773923,0.20588235294117646,0.2028398003773923,9.105273723602295,2.74334716796875,24.560770750045776,787.236080714347,297.44685963468083,1.270266981529338,3.3619450587852326,1516.76953125,1516.77734375,201.69482421875,336.0,157.40771484375,336.0,,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_best_eval_confusion.csv,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_final_eval_confusion.csv,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_best_model.pth,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_final_model.pth,0.04179802783099668,-0.029431685605751618,206281634.0,0.14389064871651785,860160000000.0,299281022500.0,299281022500.0,0.3479364565894717,157977385.0,0.22039255719866072,0.4390392418686225,501760000000.0,220292330000.0,0.4390392418686225,48304249.0,0.067388740234375,0.22039255719866072,358400000000.0,78988692500.0,0.22039255719866072,23399938.0,0.14338197303921568,97920000000.0,34082614000.0,34082614000.0,0.34806591094771244,17912608.0,0.21951725490196078,0.43988637955182075,57120000000.0,25126310000.0,0.43988637955182075,5487330.0,0.06724669117647059,0.21951725490196078,40800000000.0,8956304000.0,0.21951725490196078
20260426_192629,shd,ff,3,dynsrm,500,2,10,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,6.0,1.0,0.24762834821428573,0.28744654877688824,0.24793525004163505,0.2517927625415569,0.22549019607843138,0.2705617452184994,0.22059991951182417,0.22625564462981376,0.22549019607843138,0.22625564462981376,9.166388750076294,2.805083751678467,24.651249408721924,781.9873447916268,290.90040520598836,1.27879307339234,3.4376026368608663,1516.796875,1516.65234375,201.69482421875,336.0,157.40771484375,336.0,,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_best_eval_confusion.csv,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_final_eval_confusion.csv,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_best_model.pth,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_final_model.pth,-0.015094495893988227,-0.07153440932078022,190030254.0,0.13255458565848213,860160000000.0,290613674000.0,290613674000.0,0.33786001906622026,140975128.0,0.196672890625,0.43870796795280614,501760000000.0,220126110000.0,0.43870796795280614,49055126.0,0.06843628069196428,0.196672890625,358400000000.0,70487564000.0,0.196672890625,21548352.0,0.13203647058823528,97920000000.0,33116692000.0,33116692000.0,0.3382015114379085,15980764.0,0.19584269607843138,0.43988637955182075,57120000000.0,25126310000.0,0.43988637955182075,5567588.0,0.06823024509803921,0.19584269607843138,40800000000.0,7990382000.0,0.19584269607843138
20260426_192629,shd,ff,4,dynsrm,500,2,10,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,6.0,1.0,0.27260044642857145,0.3252524308513751,0.2731620461877739,0.2784860069191718,0.24632352941176472,0.27551333711347514,0.24055471172125625,0.243398561298454,0.24632352941176472,0.243398561298454,9.093654155731201,2.7377147674560547,23.806340217590332,788.2419847122102,298.0588079152765,1.2686459480651788,3.3550426071765376,1516.6484375,1516.8203125,201.69482421875,336.0,157.40771484375,336.0,,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_best_eval_confusion.csv,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_final_eval_confusion.csv,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_best_model.pth,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_final_model.pth,-0.052734636036413055,-0.09089992088930947,174830350.0,0.12195197405133928,860160000000.0,282694757500.0,282694757500.0,0.3286536894298735,125325455.0,0.17484019949776786,0.43852046795280614,501760000000.0,220032030000.0,0.43852046795280614,49504895.0,0.06906374860491071,0.17484019949776786,358400000000.0,62662727500.0,0.17484019949776786,19836493.0,0.12154713848039216,97920000000.0,32233072500.0,32233072500.0,0.3291776194852941,14213525.0,0.17418535539215688,0.43988637955182075,57120000000.0,25126310000.0,0.43988637955182075,5622968.0,0.06890892156862745,0.17418535539215688,40800000000.0,7106762500.0,0.17418535539215688
20260426_192629,shd,ff,5,dynsrm,500,2,10,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,6.0,1.0,0.33565848214285715,0.35346349329394616,0.33624034961859367,0.3378419516100525,0.3272058823529412,0.3368638263614724,0.31814080112622695,0.3204156218822084,0.3272058823529412,0.3204156218822084,8.882558345794678,2.7738404273986816,24.280627012252808,806.9747161743766,294.1769800237745,1.2391961977950163,3.39931424926309,1516.69921875,1516.65625,201.69482421875,336.0,157.40771484375,336.0,,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_best_eval_confusion.csv,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_final_eval_confusion.csv,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_best_model.pth,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_final_model.pth,-0.08182992067720209,-0.11317513138055801,161556509.0,0.11269287737165179,860160000000.0,276749799500.0,276749799500.0,0.321742233421689,113050219.0,0.15771514927455357,0.43890443638392856,501760000000.0,220224690000.0,0.43890443638392856,48506290.0,0.06767060546875,0.15771514927455357,358400000000.0,56525109500.0,0.15771514927455357,18331790.0,0.11232714460784314,97920000000.0,31535669500.0,31535669500.0,0.3220554483251634,12818719.0,0.15709214460784313,0.43988637955182075,57120000000.0,25126310000.0,0.43988637955182075,5513071.0,0.06756214460784314,0.15709214460784313,40800000000.0,6409359500.0,0.15709214460784313
20260426_192629,shd,ff,6,dynsrm,500,2,10,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,6.0,1.0,0.34946986607142855,0.3767320234919922,0.34936792286526763,0.34735707740186345,0.32230392156862747,0.3626096711813297,0.3210890037610362,0.31514072947447874,0.3272058823529412,0.3204156218822084,9.12398386001587,2.9540443420410156,24.66504979133606,785.6217316881064,276.2314662603227,1.272877212613821,3.620152379952225,1516.625,1516.66015625,201.69482421875,336.0,157.40771484375,336.0,,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_best_eval_confusion.csv,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_final_eval_confusion.csv,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_best_model.pth,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_final_model.pth,-0.10416452267340251,-0.1285430400499276,157484606.0,0.10985254324776786,860160000000.0,272980234000.0,272980234000.0,0.3173598330543155,105654968.0,0.14739811383928572,0.43876106106505103,501760000000.0,220152750000.0,0.43876106106505103,51829638.0,0.07230697265625,0.14739811383928572,358400000000.0,52827484000.0,0.14739811383928572,17874569.0,0.10952554534313726,97920000000.0,31118310000.0,31118310000.0,0.3177931985294118,11984000.0,0.1468627450980392,0.43988637955182075,57120000000.0,25126310000.0,0.43988637955182075,5890569.0,0.0721883455882353,0.1468627450980392,40800000000.0,5992000000.0,0.1468627450980392
20260426_192629,shd,ff,7,dynsrm,500,2,10,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,6.0,1.0,0.39034598214285715,0.41400018144939443,0.3910315594750141,0.39123341551372093,0.34558823529411764,0.37000764288971666,0.3468411698609808,0.3424083050722732,0.34558823529411764,0.3424083050722732,8.954069375991821,2.720888137817383,24.08851671218872,800.5298707221617,299.9020755974817,1.249172624998859,3.3344217375213026,1516.66796875,1517.00390625,201.69482421875,336.0,157.40771484375,336.0,,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_best_eval_confusion.csv,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_final_eval_confusion.csv,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_best_model.pth,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_final_model.pth,-0.11106134418930326,-0.13444107185517037,144717542.0,0.10094694614955357,860160000000.0,268024869500.0,268024869500.0,0.3115988531203497,95784239.0,0.13362756556919642,0.4387212013711735,501760000000.0,220132750000.0,0.4387212013711735,48933303.0,0.06826632672991072,0.13362756556919642,358400000000.0,47892119500.0,0.13362756556919642,16435037.0,0.10070488357843137,97920000000.0,30557159500.0,30557159500.0,0.31206249489379084,10861699.0,0.13310905637254902,0.43988637955182075,57120000000.0,25126310000.0,0.43988637955182075,5573338.0,0.06830071078431373,0.13310905637254902,40800000000.0,5430849500.0,0.13310905637254902
20260426_192629,shd,ff,8,dynsrm,500,2,10,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,6.0,1.0,0.37806919642857145,0.40253715498646303,0.377851736086802,0.3765266355550281,0.31985294117647056,0.3508404981575621,0.32277372150670186,0.3170211808054777,0.34558823529411764,0.3424083050722732,8.936661720275879,2.7302634716033936,24.294639348983765,802.0892167974688,298.872254816049,1.2467441016009875,3.3459111171610214,1517.015625,1517.0234375,201.69482421875,336.0,157.40771484375,336.0,,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_best_eval_confusion.csv,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_final_eval_confusion.csv,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_best_model.pth,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_final_model.pth,-0.1242714731820992,-0.1455603124839919,143882158.0,0.100364228515625,860160000000.0,266157400000.0,266157400000.0,0.3094277808779762,92068820.0,0.12844422433035715,0.4387017498405612,501760000000.0,220122990000.0,0.4387017498405612,51813338.0,0.07228423270089286,0.12844422433035715,358400000000.0,46034410000.0,0.12844422433035715,16348609.0,0.10017530024509803,97920000000.0,30347401500.0,30347401500.0,0.30992035845588234,10442183.0,0.12796792892156864,0.43988637955182075,57120000000.0,25126310000.0,0.43988637955182075,5906426.0,0.07238267156862745,0.12796792892156864,40800000000.0,5221091500.0,0.12796792892156864
20260426_192629,shd,ff,9,dynsrm,500,2,10,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,6.0,1.0,0.4248046875,0.451782002210346,0.42579329323580517,0.4247457961794504,0.38480392156862747,0.40423527806824017,0.38472458078906524,0.38046360362649656,0.38480392156862747,0.38046360362649656,8.66753101348877,2.6872596740722656,23.99508547782898,826.9944449976426,303.6550609057575,1.2091979650514466,3.2932103848924825,1517.03515625,1517.01171875,201.69482421875,336.0,157.40771484375,336.0,,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_best_eval_confusion.csv,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_final_eval_confusion.csv,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_best_model.pth,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_final_model.pth,-0.1323551365307399,-0.1526052270616804,138400743.0,0.09654069684709822,860160000000.0,263808837500.0,263808837500.0,0.30669740222749253,87185995.0,0.12163224748883929,0.4388867984693878,501760000000.0,220215840000.0,0.4388867984693878,51214748.0,0.07144914620535714,0.12163224748883929,358400000000.0,43592997500.0,0.12163224748883929,15718523.0,0.09631447916666666,97920000000.0,30072350000.0,30072350000.0,0.3071114174836601,9892080.0,0.1212264705882353,0.43988637955182075,57120000000.0,25126310000.0,0.43988637955182075,5826443.0,0.07140248774509804,0.1212264705882353,40800000000.0,4946040000.0,0.1212264705882353
20260426_192629,shd,ff,10,dynsrm,500,2,10,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,6.0,1.0,0.42452566964285715,0.4581079648174307,0.42444921258100754,0.4256743319715953,0.39705882352941174,0.43961027249598494,0.40247253951629897,0.39892729432734914,0.39705882352941174,0.39892729432734914,8.968558549880981,2.5923705101013184,23.728217363357544,799.236572982525,314.7698204482769,1.2511939941240209,3.176924644732008,1517.03515625,1517.1796875,201.69482421875,336.0,157.40771484375,336.0,,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_best_eval_confusion.csv,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_final_eval_confusion.csv,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_best_model.pth,./result/2layers/dynsrm/SHD_dynsrm_FF_20260426_192629_final_model.pth,-0.1420599003987653,-0.1592864841222763,131280147.0,0.09157376325334822,860160000000.0,260789509500.0,260789509500.0,0.3031872087751116,81297279.0,0.113416962890625,0.43873738440688775,501760000000.0,220140870000.0,0.43873738440688775,49982868.0,0.06973056361607143,0.113416962890625,358400000000.0,40648639500.0,0.113416962890625,14913385.0,0.09138103553921569,97920000000.0,29739565500.0,29739565500.0,0.30371288296568627,9226511.0,0.11306998774509804,0.43988637955182075,57120000000.0,25126310000.0,0.43988637955182075,5686874.0,0.06969208333333334,0.11306998774509804,40800000000.0,4613255500.0,0.11306998774509804
