,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9
true_0,970,1,0,0,0,1,3,1,3,1
true_1,0,1122,1,3,1,1,2,3,2,0
true_2,2,0,1001,3,5,0,3,6,12,0
true_3,0,0,2,993,0,4,0,6,4,1
true_4,0,0,3,0,966,0,2,1,1,9
true_5,5,0,0,14,2,861,4,1,5,0
true_6,5,3,1,1,1,8,932,1,6,0
true_7,0,4,8,0,4,0,1,1004,5,2
true_8,4,0,4,6,4,2,1,2,948,3
true_9,5,2,0,3,9,3,0,5,4,978
