epoch,train_acc,test_acc,best_test_acc,train_speed,test_speed,layer_0_loss,layer_1_loss
56,0.9949488146551724,0.9694,0.972,12297.424823243438,5554.069663431088,-0.26257815546002883,-0.26813861213881396
57,0.9952182112068966,0.9688,0.972,8028.752104786571,5195.681133661536,-0.2627807167069665,-0.2683373186095008
58,0.9957738415948276,0.9707,0.972,8157.252018258162,5513.018600554496,-0.262807021880972,-0.26827879918032677
59,0.9954707704741379,0.9716,0.972,8718.264167122457,8137.153677071147,-0.2629077537306424,-0.26847767316061877
60,0.9960769127155172,0.9706,0.972,11279.10448142491,5853.608158506565,-0.2631189638170703,-0.2684398529858425
61,0.9961105872844828,0.9686,0.972,7733.97829701315,5536.499240403536,-0.26305274819505625,-0.26851459207205935
62,0.9957570043103449,0.9692,0.972,7357.225099334635,6152.509268800722,-0.2634209918564764,-0.2687795994610622
63,0.9960600754310345,0.9699,0.972,9381.071239643463,10635.928676990428,-0.2635815616311698,-0.26898164070885755
64,0.9963463092672413,0.9696,0.972,9099.817590157925,10761.021550757605,-0.26357336085418176,-0.26879140118072775
65,0.9956896551724138,0.9696,0.972,8381.169991005316,6162.058924641454,-0.26342340995525493,-0.2687282932215723
66,0.9961779364224138,0.9707,0.972,8134.588920622749,5541.8430353040285,-0.2639723913422946,-0.2691703572355468
67,0.9963126346982759,0.9704,0.972,7919.215506943161,6277.194527892355,-0.26400265714217874,-0.26914621529908017
68,0.9966662176724138,0.9708,0.972,9602.866456223295,5526.453375609262,-0.26378980690035325,-0.26893400734868544
69,0.99658203125,0.9721,0.9721,8006.053415313823,5229.6411633948655,-0.26409660433900767,-0.2692430039931988
70,0.9968345905172413,0.9712,0.9721,7668.466876690154,5363.674646248839,-0.2642091379083436,-0.2694277609216756
71,0.9968345905172413,0.9701,0.9721,7163.870338904165,6461.7193983734105,-0.26406039862797176,-0.26924732841294385
72,0.9963631465517241,0.9715,0.9721,12528.984120101055,5400.373106031099,-0.2640256367880723,-0.2692959164750987
73,0.9968682650862069,0.9712,0.9721,7699.93033726457,5318.8295618751,-0.2642129885739294,-0.26933105546852637
74,0.9971039870689655,0.9716,0.9721,7389.758702400273,5389.827585564379,-0.26440421774469575,-0.2694320164877793
75,0.997002963362069,0.9716,0.9721,8780.478716331509,11075.710488074934,-0.2646721837849453,-0.26959192650071506
76,0.9968851023706896,0.9721,0.9721,8991.569139115369,5545.437694238213,-0.26451971099294463,-0.269638532194598
77,0.9972723599137931,0.9722,0.9722,8179.67111615588,5328.467848762263,-0.2645016137895913,-0.2695362609008263
78,0.997002963362069,0.971,0.9722,7669.281308712917,6228.011249402339,-0.2647033066585146,-0.26947611570358276
79,0.99755859375,0.9716,0.9722,9784.741567444446,5425.767006716261,-0.2642311032476096,-0.2694920671397242
80,0.997491244612069,0.9724,0.9724,7697.5628842614415,5429.113523933096,-0.26458859751964436,-0.26972025119025134
81,0.9972555226293104,0.9702,0.9724,8199.796479667142,5388.417104684705,-0.26484629820133077,-0.2697123432981557
82,0.9976932920258621,0.9706,0.9724,7943.608633095705,8027.7386691532865,-0.2645898851855048,-0.269823726908914
83,0.9973397090517241,0.9703,0.9724,12165.115111381965,5452.10309317481,-0.2650954332844964,-0.26987131607943565
84,0.997625942887931,0.9713,0.9724,8043.7686870061925,5143.436793043301,-0.2648504273644809,-0.26990002907555677
85,0.9975922683189655,0.973,0.973,8133.162710025223,5851.789410005472,-0.2648055204029741,-0.2699660299153164
86,0.9975080818965517,0.9724,0.973,8599.55596784688,12449.44523249598,-0.26480403028685473,-0.27004449634716426
87,0.9976764547413793,0.9728,0.973,9295.365651976432,5643.861547837276,-0.2650699461328572,-0.2700322907546471
88,0.9973565463362069,0.9716,0.973,7769.529074515294,5302.279448304563,-0.26513103781075315,-0.27007629850815085
89,0.9980300377155172,0.9698,0.973,8083.056085932422,6266.132365962816,-0.26492955150275393,-0.2700123447796394
90,0.9978111530172413,0.9708,0.973,9529.831713567442,5363.022428441956,-0.26502645426783067,-0.270093165594956
91,0.9978111530172413,0.9724,0.973,8094.601548766777,5166.1523059520005,-0.26529946614956035,-0.2702818214893341
92,0.9980805495689655,0.9733,0.9733,7613.562097979116,5315.7193082867125,-0.265112500766228,-0.27023461152767314
93,0.9981984105603449,0.9729,0.9733,8265.010824133029,6236.512326404378,-0.26534832243261663,-0.270264549502011
94,0.9978279903017241,0.9712,0.9733,12723.722253246111,5557.695671300836,-0.2654594686524621,-0.2702719558929575
95,0.9979121767241379,0.9697,0.9733,7582.9761807729565,4824.093785363629,-0.265349968754012,-0.2701680989101015
96,0.9979626885775862,0.9703,0.9733,7822.420913531245,5233.950879799063,-0.265558589121391,-0.2702114623168419
97,0.9978785021551724,0.9704,0.9733,9120.912373064815,12008.274057394474,-0.26566963668527277,-0.2703975572668273
98,0.9978448275862069,0.9721,0.9733,7841.076598625238,6017.763310430952,-0.26564228740231743,-0.27035417638976
99,0.9985183189655172,0.9724,0.9733,7290.278673039491,5248.6403828201455,-0.26560634682918416,-0.2704246845738641
100,0.998046875,0.9727,0.9733,7645.125182433478,6119.9981323247885,-0.2656740926463029,-0.2705258583200389
101,0.9982320851293104,0.9736,0.9736,10335.096258628742,6412.185265395391,-0.2654606432750307,-0.2703933448627077
102,0.9985183189655172,0.9716,0.9736,10438.6711544224,5441.281361316669,-0.2655581986082011,-0.27036415708476097
103,0.9980805495689655,0.9731,0.9736,7355.611645190241,5346.851533131058,-0.2656853075685172,-0.27048563032314693
104,0.9984004579741379,0.9723,0.9736,8088.501930570432,5433.961873039255,-0.26572248236886387,-0.2704804467743841
105,0.9984509698275862,0.9705,0.9736,8388.386266989675,7030.4383849534715,-0.2657714270312211,-0.2703769916090472
106,0.998602505387931,0.9714,0.9736,13948.36563374914,5409.765867238439,-0.26580281298736047,-0.27044923552151384
107,0.998467807112069,0.9723,0.9736,7512.591051547703,5881.731633541671,-0.26587340030176887,-0.2705915015319298
108,0.998602505387931,0.9735,0.9736,8134.502150667381,5583.873918502384,-0.26605207961181115,-0.270749707674158
109,0.9986530172413793,0.972,0.9736,9068.793183690834,12198.087941432483,-0.26563206520573845,-0.2704721576180951
110,0.9983836206896551,0.9716,0.9736,8170.890536217224,6372.152944894139,-0.2657634934474682,-0.27049270066721687
111,0.9983331088362069,0.9727,0.9736,7410.953746590786,5349.8120431178395,-0.2660072610296052,-0.27062123089001094
112,0.9985519935344828,0.9733,0.9736,7507.691738572625,6320.245667050264,-0.2662716703168277,-0.2707717449500643
113,0.9986698545258621,0.9731,0.9736,10708.000079993566,5315.308385298725,-0.26591910370464983,-0.2706104136746505
114,0.9986193426724138,0.9715,0.9736,7222.7626241376165,5388.218436468786,-0.26587480306625366,-0.27067419681055793
115,0.9984341325431034,0.9717,0.9736,7809.622623399247,5558.499965808559,-0.2660781967228857,-0.27072536020443355
116,0.9987372036637931,0.9724,0.9736,8870.928984096689,8216.825404723764,-0.26606241793468083,-0.27067238092422485
117,0.9987372036637931,0.9732,0.9736,10182.469214667422,5450.870217610935,-0.2661266594097532,-0.2707131227542614
118,0.9987203663793104,0.9738,0.9738,8277.138669913782,5599.58923301334,-0.2659960163050684,-0.2706308292931524
119,0.9987203663793104,0.9737,0.9738,7321.478367114457,6036.62964017876,-0.2660074162072149,-0.27074431756447104
120,0.9989392510775862,0.9727,0.9738,9598.314626990203,5214.500083296658,-0.26618388192407016,-0.2707959557401723
121,0.9987035290948276,0.972,0.9738,7769.094212240568,5408.5667086227895,-0.26622042162665005,-0.2707722217872225
122,0.9987708782327587,0.9736,0.9738,7353.485753697822,5308.939129589482,-0.26630373042205285,-0.27064809305914517
123,0.9989055765086207,0.9724,0.9738,7558.610123886865,8062.795280396352,-0.26626825743708116,-0.27080531264173574
124,0.9986361799568966,0.9721,0.9738,14450.222493984822,5228.618941836142,-0.26630442409679805,-0.27080886117343245
125,0.9986530172413793,0.9729,0.9738,7995.522526905252,5488.793021546074,-0.2659952866620031,-0.2708416211194006
126,0.9987877155172413,0.9716,0.9738,7479.776508683048,6476.253297338228,-0.2661802213767479,-0.27076299026094636
127,0.9988213900862069,0.9709,0.9738,8789.74899792633,11758.328632959285,-0.2664069194218208,-0.27090283920025005
128,0.9988887392241379,0.9715,0.9738,7840.208419033315,6381.600898897603,-0.2664242386817932,-0.27096625854229106
129,0.999090786637931,0.9729,0.9738,7674.639135279315,5352.429512948904,-0.2664088658217726,-0.27099600434303284
130,0.9988550646551724,0.9707,0.9738,7712.9592014214795,6287.897050269547,-0.2664680224040459,-0.2710649463637122
131,0.9989897629310345,0.9705,0.9738,10547.493601089376,5511.036713274079,-0.26640711570608205,-0.2710046326291972
132,0.9988887392241379,0.9697,0.9738,7669.555707265463,5370.305260648349,-0.26616181792884036,-0.2708870830207035
133,0.9987540409482759,0.9711,0.9738,8086.744907847225,5526.56770075212,-0.2664815639627391,-0.2709658145904541
134,0.9988213900862069,0.9715,0.9738,7558.649853383814,7882.939503106337,-0.26641494035720825,-0.2710320343231333
135,0.9989897629310345,0.9714,0.9738,12717.957633127364,5349.762230890686,-0.2665457663864925,-0.2710143584629585
136,0.9989224137931034,0.9707,0.9738,8024.467047272974,5271.318102246859,-0.2666352689266205,-0.27111684042831946
137,0.9989729256465517,0.972,0.9738,7932.814398521333,5994.484159430288,-0.2662707207531765,-0.2711752036522175
138,0.9991412984913793,0.9732,0.9738,8546.544437706221,12134.558273626897,-0.26630465018338173,-0.27094944694946554
139,0.9989897629310345,0.9696,0.9738,9015.418816886198,9391.989979020702,-0.26622397118601304,-0.27107894112323894
140,0.998956088362069,0.9713,0.9738,8719.35070145252,6005.209005213444,-0.2663937971509736,-0.27105328646199456
141,0.9990234375,0.9712,0.9738,8021.07128425561,5212.503484381829,-0.26660519427266616,-0.27112889495389214
142,0.9989224137931034,0.9706,0.9738,7366.157581787649,6237.090092355479,-0.266462412373773,-0.27109862504334287
143,0.9988719019396551,0.9719,0.9738,10287.284000680209,5443.007125228624,-0.2665044254270093,-0.27120626383814317
144,0.9988550646551724,0.9727,0.9738,7977.223640489762,5437.147231656889,-0.2664687284107866,-0.2710757553577423
145,0.9991244612068966,0.9715,0.9738,8078.497115526848,5346.417382423671,-0.2664651223297777,-0.2712541787788786
146,0.9988887392241379,0.9695,0.9738,8419.841119973169,8257.593029001857,-0.26658692955970764,-0.27111865425931997
147,0.9991076239224138,0.9713,0.9738,9392.379415071542,5736.340048130341,-0.266531090284216,-0.271222998355997
148,0.998956088362069,0.972,0.9738,7285.0322225834625,5430.227603779547,-0.26654736440757226,-0.2711533636882387
149,0.9992423221982759,0.9728,0.9738,7963.990082506641,6255.520536724731,-0.26634738568601934,-0.2710265435021499
150,0.9991244612068966,0.9714,0.9738,9586.876120130653,5444.6710801566505,-0.2665360138334077,-0.2710796687109717
151,0.9990402747844828,0.9701,0.9738,7423.856120496818,5419.4875505536675,-0.26664351594859154,-0.2713992030456148
152,0.9991581357758621,0.9709,0.9738,7678.134359565099,5412.271933919839,-0.266665052751015,-0.27127772980722886
153,0.9991918103448276,0.9716,0.9738,8230.300905516035,7971.864437189911,-0.2664762951176742,-0.27105652052780677
154,0.998956088362069,0.9719,0.9738,10553.570206433067,5526.201440081161,-0.26659637072990683,-0.2714327419626302
155,0.9990402747844828,0.9726,0.9738,7497.959841091955,5845.944735992632,-0.26646876746210557,-0.2713109069857104
156,0.9989729256465517,0.9718,0.9738,7639.5988135255175,6196.437351083545,-0.2665166299918602,-0.2711244400205283
157,0.9992591594827587,0.9704,0.9738,10117.01015535263,5430.905412889166,-0.26645473262359354,-0.271168884532205
158,0.9991749730603449,0.9722,0.9738,7665.0392786515895,5446.147233982327,-0.26646753015189334,-0.27110722558251743
159,0.9992254849137931,0.9699,0.9738,7369.269299598559,5350.438528121188,-0.26667414965300723,-0.27114982235020607
160,0.9991244612068966,0.9705,0.9738,7714.230958198422,8108.910590563915,-0.26631272044675103,-0.27128606109783565
161,0.9991244612068966,0.9721,0.9738,14003.598804271489,5356.007583679638,-0.2666626788418868,-0.2712970242418092
162,0.9992928340517241,0.9714,0.9738,7487.366208434429,5452.94020752693,-0.26689637940505456,-0.2714230623738519
163,0.9991918103448276,0.9709,0.9738,7521.702007545725,6265.397584904623,-0.26676615867121467,-0.27126634018174534
164,0.9991918103448276,0.974,0.974,8759.667515976776,5842.194188037045,-0.2667295552533248,-0.27122442578447276
165,0.9992254849137931,0.971,0.974,7785.203598295163,5399.248305069145,-0.26694447418739053,-0.27142679794081326
166,0.9992591594827587,0.972,0.974,7037.905789172445,5435.189928237109,-0.266854859631637,-0.27148885665268735
167,0.9992591594827587,0.9712,0.974,7482.176042271052,8282.610464321795,-0.26688652203000823,-0.271329200473325
168,0.9993601831896551,0.9694,0.974,13645.62509502553,5458.859077025114,-0.26697235682915,-0.27141676175183266
169,0.9993770204741379,0.9717,0.974,8416.302685617293,5352.876254146456,-0.2666123776600279,-0.27137498917250796
170,0.9992086476293104,0.9683,0.974,7552.371649148079,5822.007453128533,-0.2667078273049716,-0.27133721215971585
171,0.9992423221982759,0.9724,0.974,8572.222432844806,11982.000306241616,-0.2666437482011729,-0.2712528685043598
172,0.9993265086206896,0.9686,0.974,7571.45448429192,6131.799276342239,-0.2666148841381073,-0.27141805661135704
173,0.9993096713362069,0.9699,0.974,8084.612554617937,5358.715330257683,-0.26690871962185564,-0.2714548213728543
174,0.9992254849137931,0.9713,0.974,7303.9786181104355,6799.979183260748,-0.26645244298310117,-0.27133140687284796
175,0.9993433459051724,0.9726,0.974,9420.348071680643,6340.592740471924,-0.2665968506500639,-0.2714043989263732
176,0.9994275323275862,0.9694,0.974,10603.81939048722,5466.1304321761545,-0.26652232634610146,-0.2712091176674284
177,0.9992423221982759,0.9696,0.974,7564.980347025986,5419.318794228237,-0.2671317355386142,-0.271468599294794
178,0.9993770204741379,0.9699,0.974,7419.2732699368125,5437.022480212177,-0.26668090553119267,-0.2713187275261715
179,0.9995622306034483,0.9721,0.974,8424.894582627014,8715.177917830182,-0.266743889142727,-0.2711982161834322
180,0.9993433459051724,0.9706,0.974,10272.936012664628,5437.54830757232,-0.2668203557359761,-0.271401769128339
181,0.9992928340517241,0.9698,0.974,8298.133724605088,5975.113759686775,-0.26677717114317007,-0.27142550205362254
182,0.9993770204741379,0.9707,0.974,7685.5957929818405,6255.2947664844305,-0.26673498338666457,-0.271446967947072
183,0.9993770204741379,0.9718,0.974,9066.069434055142,5416.576052565649,-0.26672549802681494,-0.2711168661199767
184,0.9992759967672413,0.9707,0.974,7295.7549750259395,5780.600091402387,-0.2669060528278351,-0.27131380294931345
185,0.9993770204741379,0.97,0.974,7918.895044925868,5305.687401031561,-0.2668076702233019,-0.2714032520507944
186,0.9994948814655172,0.9709,0.974,7941.162409898053,7459.284134911134,-0.2668344522344655,-0.2714136242866516
187,0.9993770204741379,0.9703,0.974,9564.790258029941,5817.036802087658,-0.266614176076034,-0.27130504312186404
188,0.9994275323275862,0.9721,0.974,7563.908955459127,5405.575664970362,-0.26667888924993316,-0.2712681694277402
189,0.9992928340517241,0.9715,0.974,7677.715055016585,6178.187276832107,-0.26693991237673265,-0.27156600047802104
190,0.9994780441810345,0.97,0.974,9437.963929744245,5637.655410721952,-0.26650419009142906,-0.2714472433616375
191,0.9993938577586207,0.97,0.974,7522.399891315118,5434.72230050644,-0.26677336363956844,-0.2714671204830038
192,0.9995285560344828,0.9694,0.974,7812.1182055073305,5297.022857005019,-0.2669930612218791,-0.27145930508087424
193,0.9995285560344828,0.9713,0.974,8923.777970908195,7723.302630796361,-0.26702196433626374,-0.27139401230318794
194,0.9993938577586207,0.9711,0.974,11651.677863069372,5408.34284087369,-0.26661124003344566,-0.27140534951769074
195,0.9994275323275862,0.9695,0.974,8016.847028403588,5349.512501379051,-0.2664278653161279,-0.2711676235856681
196,0.9994612068965517,0.9704,0.974,7779.143002983489,5856.243141857557,-0.2664811539238897,-0.2711746466570887
197,0.9995285560344828,0.97,0.974,9482.62759622941,12485.195369917801,-0.26663570260179453,-0.27153257357663124
198,0.999444369612069,0.97,0.974,7660.055756318304,5518.253253415241,-0.266518281451587,-0.27125418802787515
199,0.9993938577586207,0.9686,0.974,7333.418967222658,5256.651770557389,-0.2666792705141265,-0.2713478372014802
200,0.9994275323275862,0.9716,0.974,7497.895727036551,6300.006053215121,-0.2667016941925575,-0.2715913961673605
201,0.9993770204741379,0.9711,0.974,11841.449569945715,5505.473900445302,-0.2668384313583374,-0.27133582892089053
202,0.9994275323275862,0.9688,0.974,7484.289306355046,5364.906817401862,-0.2668953702367585,-0.27144913015694455
203,0.9992759967672413,0.9696,0.974,7474.454108725704,5287.9745247534665,-0.2667670013575718,-0.27146776380210086
204,0.9995285560344828,0.9695,0.974,8455.387807363779,11530.666077254262,-0.2666113119700859,-0.2714178541610981
205,0.9992086476293104,0.9703,0.974,9362.506192947178,5837.640728580515,-0.2669757214085809,-0.2714358424318248
206,0.9994106950431034,0.9692,0.974,7236.42886207985,5400.565022455014,-0.26677941762167834,-0.27136748309793146
207,0.9993265086206896,0.9693,0.974,7429.953100270437,6441.24159831342,-0.26680758595466614,-0.27145163252435883
208,0.9993265086206896,0.9711,0.974,9766.813466141606,5562.156841189122,-0.26652154840272047,-0.2712554767214019
209,0.9992423221982759,0.9687,0.974,7670.216775203869,5231.23592274047,-0.2668258743039493,-0.27145067268404466
210,0.9994612068965517,0.9687,0.974,7677.589506810118,5467.250492981467,-0.26689254723746203,-0.2713904781588193
211,0.9994780441810345,0.9689,0.974,8561.530365714556,9290.432102252025,-0.2669062840527502,-0.2715820433764622
212,0.999444369612069,0.9702,0.974,10888.296699550136,7507.069360543921,-0.2670334762540357,-0.2714340501818164
213,0.9993096713362069,0.9698,0.974,12904.304014935173,5617.702220947743,-0.2667313978589814,-0.2714636007259632
214,0.9994612068965517,0.9693,0.974,7394.177839006885,5372.074359285036,-0.26671240761362275,-0.2714828869392132
215,0.9994612068965517,0.9699,0.974,7629.332274447609,5846.794692989554,-0.26698114851425436,-0.2714929601241802
216,0.9996127424568966,0.969,0.974,8632.244467860906,5371.37813631042,-0.2668965181400036,-0.2713909077233282
217,0.9994780441810345,0.9703,0.974,7651.093585635325,5348.61953387494,-0.26684345459115916,-0.27127376301535244
218,0.9994948814655172,0.9698,0.974,7066.0531779393505,5367.330274321848,-0.266894085653897,-0.27143293619155884
219,0.9994948814655172,0.9704,0.974,7934.649759978792,7076.441796435614,-0.2667127487988308,-0.271472482845701
220,0.9994612068965517,0.9699,0.974,11568.64440567363,5550.922181685164,-0.2669824495397765,-0.27155155046232815
221,0.9994612068965517,0.9697,0.974,8116.188406669744,5541.1101682835,-0.26672527605089646,-0.27125950620092193
222,0.99951171875,0.9698,0.974,7507.564298325711,6433.591404829476,-0.26678425381923543,-0.27140206406856404
223,0.9993601831896551,0.9698,0.974,8726.914400043499,6157.078380062964,-0.2667867664633126,-0.2713583193976304
224,0.9995622306034483,0.972,0.974,7379.822434353769,5490.846633991036,-0.26664035690241844,-0.2713934686677209
225,0.9992928340517241,0.9683,0.974,7316.684885337506,5501.185410350293,-0.26676180958747864,-0.27145864326378394
226,0.9994612068965517,0.971,0.974,7376.354769093215,7360.879113782098,-0.2666553906325636,-0.2714335795106559
227,0.9995453933189655,0.9699,0.974,11052.346088328828,5217.602022601004,-0.266829664337224,-0.2714321305011881
228,0.9996295797413793,0.9702,0.974,7272.43577008065,5484.749930399462,-0.26638867628985435,-0.27136355741270657
229,0.9994612068965517,0.9689,0.974,7713.772472159373,6138.725731544324,-0.2667604756766352,-0.27132580814690427
230,0.9996127424568966,0.9688,0.974,8668.751714791044,8599.978265817257,-0.26729596174996473,-0.2714836176099448
231,0.99951171875,0.9676,0.974,7158.207359124393,5234.091959599832,-0.2666958241627134,-0.2713591405029955
232,0.9996127424568966,0.969,0.974,7010.226628902286,5592.224890876854,-0.2669516771004118,-0.2715065222361992
233,0.9996295797413793,0.9701,0.974,8018.026827092046,7339.968692770025,-0.26668137311935425,-0.2714476626494835
234,0.9994780441810345,0.9698,0.974,11848.503260291534,5358.858423574918,-0.26692557745966417,-0.2715496975800087
235,0.9993938577586207,0.9689,0.974,7685.411310111905,5392.761700023979,-0.26679294890370864,-0.27150010240489036
236,0.9996295797413793,0.969,0.974,7547.493442982991,5387.673731535003,-0.26652121132817763,-0.2712990189420766
237,0.9994275323275862,0.9703,0.974,8413.430705505834,12103.173664202539,-0.2665826215826232,-0.27138817002033366
238,0.9995285560344828,0.9682,0.974,7899.653173732813,6439.458584263129,-0.26684257799181443,-0.27146040982213515
239,0.9996295797413793,0.9691,0.974,7428.331054628782,5263.168858051682,-0.26687187264705525,-0.27142967746175567
240,0.9993433459051724,0.9674,0.974,7323.109910184336,6201.423119015816,-0.2667132431063159,-0.2714711879861766
241,0.9994780441810345,0.9699,0.974,10468.496141300977,5397.855814082183,-0.2666424584799799,-0.27153906739991285
242,0.9995453933189655,0.9689,0.974,7444.032044406805,5373.057772069478,-0.26688020804832724,-0.27144276684728164
243,0.9994780441810345,0.9676,0.974,7477.452275197008,5314.368216958499,-0.2669504613711916,-0.2714952713456647
244,0.9995285560344828,0.9675,0.974,8438.582410177392,10407.258052509918,-0.2667785143030101,-0.2714729966788456
245,0.9996800915948276,0.9683,0.974,9988.872288282633,5449.681800109662,-0.2668181154234656,-0.27149851979880496
246,0.9995959051724138,0.9689,0.974,7552.247447039817,5306.5815313476805,-0.2669242209401624,-0.27167719808118096
