epoch,train_acc,train_macro_f1,test_acc,test_macro_f1,best_test_acc,mean_total_spikes,mean_spike_rate,mean_event_synops_est,mean_dense_synops_est,mean_event_to_dense_ratio,mean_input_events,latency_mean_all,latency_mean_correct,latency_std_correct,train_speed_samples_per_s,test_speed_samples_per_s,train_time_sec,test_time_sec,epoch_time_sec,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,lr,layer_0_loss,layer_1_loss
1,0.7129429408482143,0.6955757571722575,0.7206,0.700930346523164,0.7206,718.676025390625,0.3593379557132721,916777.5625,2812000.25,0.3260233402252197,1126.4820556640625,1.212399959564209,1.1479322910308838,0.3550328314304352,7431.175365862301,3997.6679101365753,8.074092864990234,2.5014584064483643,18.231541395187378,0.1345682144165039,0.2501458406448364,1937.5703125,1910.4140625,699.892578125,842.0,657.4921875,990.0,0.001,3.9281294154269353,-0.002784280756324214
2,0.831298828125,0.826805956642484,0.8378,0.8324907540883839,0.8378,778.7200317382812,0.3893600404262543,949004.625,2812000.25,0.33748382329940796,1126.4820556640625,1.2035000324249268,1.1503938436508179,0.35745707154273987,6972.972159702738,3970.6706662073366,8.604652166366577,2.5184662342071533,18.49481964111328,0.14341086943944295,0.25184662342071534,1915.9453125,1916.30859375,699.654296875,990.0,657.4921875,990.0,0.001,0.400961805667196,-0.009264670645019837
3,0.8854631696428571,0.8845599546084074,0.8806,0.8797252517366241,0.8806,808.8206787109375,0.40441033244132996,965811.6875,2812000.25,0.3434607684612274,1126.4820556640625,1.243899941444397,1.2129230499267578,0.4093736708164215,8416.163360458477,3657.272644911977,7.129139184951782,2.7342779636383057,17.981761932373047,0.11881898641586304,0.2734277963638306,1917.33203125,1916.90625,699.654296875,990.0,657.4921875,990.0,0.001,0.16911206234778678,-0.02021291878606592
4,0.8839983258928571,0.8818387538549948,0.8838,0.8818859352949335,0.8838,827.6224975585938,0.41381126642227173,975078.8125,2812000.25,0.34675633907318115,1126.4820556640625,1.2453999519348145,1.2094365358352661,0.40690645575523376,7929.659152406588,3224.040838580347,7.5665295124053955,3.1016976833343506,20.971184492111206,0.1261088252067566,0.31016976833343507,1917.859375,1917.45703125,699.654296875,990.0,657.4921875,990.0,0.001,0.08733130831803594,-0.03767010197043419
5,0.89501953125,0.8934648061250959,0.8927,0.8913726827600472,0.8927,839.7136840820312,0.41985684633255005,981044.3125,2812000.25,0.34887778759002686,1126.4820556640625,1.2624000310897827,1.2274000644683838,0.41915300488471985,6294.376905603045,3300.276049577349,9.532317638397217,3.0300495624542236,23.369394063949585,0.15887196063995362,0.30300495624542234,1917.76171875,1918.1875,699.654296875,990.0,657.4921875,990.0,0.001,0.049771203260336606,-0.06032391131988594
6,0.8986293247767857,0.8975239444341433,0.895,0.8940505975472621,0.895,850.0372924804688,0.42501863837242126,986501.4375,2812000.25,0.3508184254169464,1126.4820556640625,1.2812000513076782,1.248044729232788,0.43187791109085083,6944.180495430429,4496.739403355736,8.640328407287598,2.2238335609436035,19.877039432525635,0.14400547345479328,0.22238335609436036,1918.25390625,2045.484375,699.654296875,990.0,657.4921875,990.0,0.001,0.025864565944565193,-0.08557977420943123
7,0.8818184988839286,0.8789637361300017,0.8827,0.8804462729642903,0.895,858.3709106445312,0.4291854500770569,990774.5,2812000.25,0.35233795642852783,1126.4820556640625,1.2972999811172485,1.2592047452926636,0.43819814920425415,6501.5535401098105,2829.403070927805,9.2285635471344,3.5343143939971924,21.536080837249756,0.15380939245223998,0.3534314393997192,2046.23046875,2045.80859375,699.654296875,990.0,657.4921875,990.0,0.001,0.01232605377611305,-0.11332271939941815
8,0.8824811662946429,0.8812803242910496,0.8817,0.880726228109413,0.895,869.0635986328125,0.4345317780971527,996009.75,2812000.25,0.3541997969150543,1126.4820556640625,1.3472000360488892,1.3149597644805908,0.464499831199646,5950.367262659645,3007.357453593865,10.08341121673584,3.325178384780884,24.05808138847351,0.168056853612264,0.33251783847808836,2045.8203125,2045.7578125,699.654296875,990.0,657.4921875,990.0,0.001,-0.005436289814367358,-0.13383232908589499
9,0.8461216517857143,0.8401125102226228,0.8471,0.8417155231233766,0.895,880.6248779296875,0.4403124153614044,1002114.25,2812000.25,0.35637062788009644,1126.4820556640625,1.4118000268936157,1.3691418170928955,0.48257240653038025,5326.047000630026,2962.8005463477266,11.265390634536743,3.375185012817383,22.42932629585266,0.18775651057561238,0.33751850128173827,2045.76171875,2046.3515625,699.654296875,990.0,657.4921875,990.0,0.001,-0.030587401507156237,-0.14055114771638597
10,0.8435581752232143,0.8422030801432155,0.8447,0.8438550598378564,0.895,893.2813720703125,0.44664067029953003,1008596.5,2812000.25,0.35867586731910706,1126.4820556640625,1.448799967765808,1.4160057306289673,0.4928944706916809,7968.095227224492,3396.0691526887204,7.5300304889678955,2.9445807933807373,18.10224986076355,0.12550050814946492,0.2944580793380737,2046.3515625,2046.95703125,699.654296875,990.0,657.4921875,990.0,0.001,-0.06180570700338909,-0.13411933396543776
