method,model,epochs,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,final_test_speed_sps,final_test_latency_ms,final_event_ratio,final_test_cpu_mb,final_test_gpu_alloc_mb,final_mean_spike_rate
BP,alif,300,0.9743,0.9742803418010688,0.9725,0.9724247406328634,5229.91438849163,0.1912077188491821,0.0806377157568931,1664.45703125,64.49951171875,0.0457740984857082
FF,alif,300,0.9677,0.9675106556270991,0.9661,0.965867273448884,3145.9843190723964,0.3178655385971069,0.1486281454563141,3840.703125,2913.244140625,0.2164190709590912
BP,dynsrm,300,0.9724,0.9721209092643754,0.9697,0.9693753299465658,5603.2749396128565,0.178467059135437,0.0767542943358421,1681.109375,65.51513671875,0.035030797123909
FF,dynsrm,300,0.975,0.9748811216987068,0.9743,0.9741638008140135,3476.6466103950497,0.287633490562439,0.1644899696111679,3687.015625,2944.1953125,0.2626556158065796
BP,lif,300,0.964,0.9638548791266006,0.9631,0.9629038173386124,5602.096961075995,0.1785045862197876,0.0820187181234359,1645.1171875,64.49365234375,0.0406323745846748
FF,lif,300,0.9669,0.9667197386866538,0.9658,0.9655553189518936,3254.607644126612,0.3072566986083984,0.1484686881303787,5360.79296875,2912.9296875,0.2159902304410934
BP,srm,300,0.9423,0.941915355489925,0.9387,0.938319655125228,5945.68611065631,0.1681891679763794,0.0887046456336975,1661.22265625,65.47998046875,0.0831811726093292
FF,srm,300,0.9747,0.9745714950387844,0.9744,0.9742516629853842,3455.5208902569366,0.2893919706344604,0.1644438505172729,3669.9765625,2944.4921875,0.2622333467006683
