,delta_best_acc_FF_minus_BP,delta_best_f1_FF_minus_BP,delta_speed_FF_minus_BP,delta_event_ratio_FF_minus_BP
lif,0.0029000000000000137,0.0028648595600532234,-2347.489316949383,0.06644997000694279
alif,-0.00660000000000005,-0.006769686173969669,-2083.930069419234,0.06799042969942098
srm,0.032399999999999984,0.032656139548859375,-2490.1652203993735,0.0757392048835754
dynsrm,0.0025999999999999357,0.002760212434331333,-2126.628329217807,0.0877356752753258
