epoch,train_acc,train_macro_f1,test_acc,test_macro_f1,best_test_acc,mean_total_spikes,mean_spike_rate,mean_event_synops_est,mean_dense_synops_est,mean_event_to_dense_ratio,mean_input_events,latency_mean_all,latency_mean_correct,latency_std_correct,train_speed_samples_per_s,test_speed_samples_per_s,train_time_sec,test_time_sec,epoch_time_sec,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,lr,layer_0_loss,layer_1_loss
1,0.8152727399553571,0.8044838987353691,0.8093,0.7978357553788189,0.8093,1719.179443359375,0.21489739418029785,1673249.75,11248001.0,0.14875976741313934,1749.823974609375,2.7111001014709473,2.449894905090332,1.85115647315979,3772.166957043313,2240.232514367107,15.90597677230835,4.463822364807129,36.397746324539185,0.26509961287180583,0.4463822364807129,4022.34765625,4039.2421875,2534.447265625,3058.0,2374.6484375,3638.0,0.001,1.3287836164236069,-0.020739802965960865
2,0.8719831194196429,0.8700642678109503,0.8643,0.8622163082537941,0.8643,1867.0472412109375,0.23338088393211365,1765198.25,11248001.0,0.15693439543247223,1749.823974609375,2.984600067138672,2.8479695320129395,2.0555806159973145,3969.731273530121,1392.7018283448404,15.114373207092285,7.180287837982178,39.779958963394165,0.25190622011820474,0.7180287837982178,4044.26953125,4043.74609375,2534.583984375,3638.0,2375.140625,3638.0,0.001,0.09779501546706472,-0.07166703923472337
3,0.9086042131696429,0.9075844143432846,0.9029,0.9016033514556663,0.9029,1937.189208984375,0.24214857816696167,1811255.75,11248001.0,0.1610291451215744,1749.823974609375,2.8796000480651855,2.6432607173919678,1.8892220258712769,3111.449780063002,1859.0867404110056,19.283615112304688,5.378985166549683,40.2848424911499,0.3213935852050781,0.5378985166549682,4045.31640625,4045.6953125,2534.583984375,3638.0,2374.6484375,3638.0,0.001,0.019353479146957397,-0.12884318456053734
4,0.9081508091517857,0.9072308500988179,0.9016,0.9009483828140293,0.9029,1988.954833984375,0.24861937761306763,1844272.125,11248001.0,0.16396445035934448,1749.823974609375,3.4012999534606934,3.2008650302886963,1.9820969104766846,4293.271785657684,1934.330503592318,13.975355625152588,5.169747352600098,33.9332857131958,0.23292259375254312,0.5169747352600098,4046.703125,4045.89453125,2534.583984375,3638.0,2375.140625,3638.0,0.001,-0.015788029446931823,-0.16875991544553212
5,0.8891950334821429,0.8879651322836478,0.8882,0.8871809224568104,0.9029,2049.55810546875,0.2561947703361511,1878806.125,11248001.0,0.16703468561172485,1749.823974609375,3.937299966812134,3.707610845565796,2.094202995300293,3980.482120011442,2266.7431488411644,15.073550939559937,4.41161584854126,32.33234453201294,0.2512258489926656,0.441161584854126,4266.39453125,4047.15234375,2534.583984375,3638.0,2374.6484375,3638.0,0.001,-0.05903415461736066,-0.1828883769256728
6,0.8647112165178571,0.8624205301759655,0.8749,0.8731437141811845,0.9029,2108.46826171875,0.2635585069656372,1911455.375,11248001.0,0.16993732750415802,1749.823974609375,4.008800029754639,3.7355127334594727,2.187046527862549,4024.3579140496936,1954.1053341112538,14.909210681915283,5.117431402206421,33.7643084526062,0.24848684469858806,0.511743140220642,4092.828125,4048.65234375,2534.583984375,3638.0,2374.6484375,3638.0,0.001,-0.11388429520385605,-0.1895150595477649
7,0.8982107979910714,0.8968388425213671,0.8975,0.8963099429673512,0.9029,2169.16845703125,0.2711460590362549,1937067.875,11248001.0,0.17221443355083466,1749.823974609375,3.7852001190185547,3.5694706439971924,2.1964375972747803,3645.4660795599057,1652.4851768757883,16.458800792694092,6.0514914989471436,38.92677617073059,0.2743133465449015,0.6051491498947144,4238.47265625,4047.66796875,2534.583984375,3638.0,2375.140625,3638.0,0.001,-0.16681061046464102,-0.19786840357950755
8,0.9132952008928571,0.9122788037713063,0.9094,0.9082412281793324,0.9094,2194.858154296875,0.27435728907585144,1953232.25,11248001.0,0.17365151643753052,1749.823974609375,3.5664000511169434,3.3915767669677734,2.1920292377471924,3962.0306155044855,1361.6130978595136,15.143749713897705,7.3442301750183105,38.809752225875854,0.25239582856496173,0.734423017501831,4047.66796875,4048.21875,2534.583984375,3638.0,2374.6484375,3638.0,0.001,-0.19933337505374635,-0.1999617346695491
9,0.9229561941964286,0.922025416817681,0.9186,0.9176178684014282,0.9186,2206.985595703125,0.27587318420410156,1961988.5,11248001.0,0.1744299978017807,1749.823974609375,3.3689000606536865,3.20857834815979,2.155766487121582,3510.3824478645765,2343.771880464004,17.09215474128723,4.266626834869385,35.314250469207764,0.2848692456881205,0.4266626834869385,4101.515625,4046.8203125,2534.583984375,3638.0,2374.6484375,3638.0,0.001,-0.2210773719208581,-0.19866761565208435
10,0.9318673270089286,0.9311469294916208,0.9284,0.9276650206553624,0.9284,2227.85693359375,0.2784820795059204,1966159.625,11248001.0,0.1748008280992508,1749.823974609375,3.229099988937378,3.0790607929229736,2.1023459434509277,4770.039137870524,2287.1561225905352,12.578513145446777,4.372241973876953,30.85792589187622,0.2096418857574463,0.4372241973876953,4280.47265625,4046.9765625,2534.583984375,3638.0,2375.140625,3638.0,0.001,-0.2319240601999419,-0.1975441426038742
