,delta_best_acc_FF_minus_BP,delta_speed_FF_minus_BP,delta_event_ratio_FF_minus_BP
lif,-0.007400000000000073,1009.2212568978487,-0.0734558536386607
alif,-0.007099999999999995,2438.6186034244174,-0.07346690511821528
srm,-0.006900000000000017,-1478.5585514464342,-0.06889633920957029
dynsrm,-0.008199999999999985,-669.457329136482,-0.06886404601057779
