run_id,dataset,method,epoch,model,hidden_dim,num_layers,T,split_by,val_ratio,tau,v_threshold,v_reset,tau_response,tau_refractory,input_gain,lr,weight_decay,train_loss,train_acc,train_macro_precision,train_macro_recall,train_macro_f1,test_loss,test_acc,test_macro_precision,test_macro_recall,test_macro_f1,best_test_acc,best_test_macro_f1,train_time_sec,test_time_sec,epoch_time_sec,train_speed,test_speed,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,test_confusion_path,best_test_confusion_path,final_test_confusion_path,best_model_path,final_model_path,layer_0_loss,layer_1_loss,train_total_spikes,train_global_spike_rate,train_dense_synops,train_event_synops,train_energy_proxy_synops,train_event_to_dense_ratio,train_layer_0_spike_count,train_layer_0_spike_rate,train_layer_0_active_input_rate,train_layer_0_dense_synops,train_layer_0_event_synops,train_layer_0_event_to_dense_ratio,train_layer_1_spike_count,train_layer_1_spike_rate,train_layer_1_active_input_rate,train_layer_1_dense_synops,train_layer_1_event_synops,train_layer_1_event_to_dense_ratio,test_total_spikes,test_global_spike_rate,test_dense_synops,test_event_synops,test_energy_proxy_synops,test_event_to_dense_ratio,test_layer_0_spike_count,test_layer_0_spike_rate,test_layer_0_active_input_rate,test_layer_0_dense_synops,test_layer_0_event_synops,test_layer_0_event_to_dense_ratio,test_layer_1_spike_count,test_layer_1_spike_rate,test_layer_1_active_input_rate,test_layer_1_dense_synops,test_layer_1_event_synops,test_layer_1_event_to_dense_ratio
20260422_102456,shd,bp,1,alif,500,1,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.047318497639999055,0.17434210526315788,0.15390735638475278,0.17455120311744435,0.15771097675445872,0.04269914387487898,0.27818627450980393,0.2667240512225597,0.2797486107710031,0.22596782593828743,0.27818627450980393,0.22596782593828743,24.916451454162598,4.857530355453491,38.92180681228638,292.81858267105343,167.98659818643986,3.4150838067657068,5.952855827761631,1506.765625,1559.30859375,70.98583984375,98.0,94.0498046875,126.0,,./result/2layers/alif/SHD_alif_BP_20260422_102456_best_eval_confusion.csv,./result/2layers/alif/SHD_alif_BP_20260422_102456_final_eval_confusion.csv,./result/2layers/alif/SHD_alif_BP_20260422_102456_best_model.pth,./result/2layers/alif/SHD_alif_BP_20260422_102456_final_model.pth,0.0,0.0,19125677.0,0.25205693583417677,52531200000.0,17554409660.0,17554409660.0,0.33417111468993665,19014633.0,0.26061722861842107,0.33627265429197994,51072000000.0,17174117000.0,0.33627265429197994,111044.0,0.038049616228070175,0.26061722861842107,1459200000.0,380292660.0,0.26061722861842107,2156503.0,0.2541128157993967,5875200000.0,1966043820.0,1966043820.0,0.3346343647875817,2140341.0,0.2622966911764706,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,16162.0,0.04951593137254902,0.2622966911764706,163200000.0,42806820.0,0.2622966911764706
20260422_102456,shd,bp,2,alif,500,1,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.040512216783929286,0.3555372807017544,0.34662035428345817,0.35735519122566917,0.3335686170221176,0.038725031211095697,0.39828431372549017,0.4438085969259076,0.39565508426797624,0.3468227144999306,0.39828431372549017,0.3468227144999306,23.257806539535522,4.446770429611206,36.95482087135315,313.70112171144183,183.50396381297904,3.187747606844233,5.449473565700007,1600.37109375,1600.66796875,70.98583984375,126.0,94.59619140625,154.0,,./result/2layers/alif/SHD_alif_BP_20260422_102456_best_eval_confusion.csv,./result/2layers/alif/SHD_alif_BP_20260422_102456_final_eval_confusion.csv,./result/2layers/alif/SHD_alif_BP_20260422_102456_best_model.pth,./result/2layers/alif/SHD_alif_BP_20260422_102456_final_model.pth,0.0,0.0,19062293.0,0.25122159929571525,52531200000.0,17548236660.0,17548236660.0,0.3340536035727339,18909408.0,0.259175,0.3361929922462406,51072000000.0,17170048500.0,0.3361929922462406,152885.0,0.052386581688596494,0.259175,1459200000.0,378188160.0,0.259175,2122481.0,0.25010381315987934,5875200000.0,1965313800.0,1965313800.0,0.33451011029411765,2103840.0,0.25782352941176473,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,18641.0,0.0571109068627451,0.25782352941176473,163200000.0,42076800.0,0.25782352941176473
20260422_102456,shd,bp,3,alif,500,1,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.03725848098595937,0.4675164473684211,0.4714596824211771,0.4687828526673739,0.4533352756728692,0.03681418642986054,0.48284313725490197,0.46463079265824553,0.4730788049149653,0.44227470417610204,0.48284313725490197,0.44227470417610204,24.712229251861572,4.876878261566162,39.31971621513367,295.23843946415286,167.3201495372061,3.387092825090676,5.976566497017355,1601.23828125,1601.265625,70.98583984375,154.0,94.59619140625,154.0,,./result/2layers/alif/SHD_alif_BP_20260422_102456_best_eval_confusion.csv,./result/2layers/alif/SHD_alif_BP_20260422_102456_final_eval_confusion.csv,./result/2layers/alif/SHD_alif_BP_20260422_102456_best_model.pth,./result/2layers/alif/SHD_alif_BP_20260422_102456_final_model.pth,0.0,0.0,19236425.0,0.25351648163377194,52531200000.0,17545722820.0,17545722820.0,0.3340057493451511,19067966.0,0.2613482182017544,0.336081678806391,51072000000.0,17164363500.0,0.336081678806391,168459.0,0.057723067434210525,0.2613482182017544,1459200000.0,381359320.0,0.2613482182017544,2147099.0,0.25300468985671193,5875200000.0,1965752720.0,1965752720.0,0.33458481753812636,2125786.0,0.26051299019607843,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,21313.0,0.06529718137254902,0.26051299019607843,163200000.0,42515720.0,0.26051299019607843
20260422_102456,shd,bp,4,alif,500,1,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.03516265789144918,0.5393366228070176,0.5429470630010911,0.5405656811464542,0.5289261124826351,0.034912378326350565,0.571078431372549,0.61335719205648,0.5679395374737373,0.5466448371839909,0.571078431372549,0.5466448371839909,24.424235343933105,4.861255168914795,39.09506273269653,298.7196895730986,167.85788271677174,3.3476199758680245,5.95742055014068,1601.84375,1601.87109375,70.98583984375,154.0,94.59619140625,154.0,,./result/2layers/alif/SHD_alif_BP_20260422_102456_best_eval_confusion.csv,./result/2layers/alif/SHD_alif_BP_20260422_102456_final_eval_confusion.csv,./result/2layers/alif/SHD_alif_BP_20260422_102456_best_model.pth,./result/2layers/alif/SHD_alif_BP_20260422_102456_final_model.pth,0.0,0.0,19465910.0,0.25654086011302296,52531200000.0,17556902800.0,17556902800.0,0.3342185748659844,19292640.0,0.2644276315789474,0.3362126018170426,51072000000.0,17171050000.0,0.3362126018170426,173270.0,0.05937157346491228,0.2644276315789474,1459200000.0,385852800.0,0.2644276315789474,2157996.0,0.2542887443438914,5875200000.0,1965966920.0,1965966920.0,0.3346212758714597,2136496.0,0.2618254901960784,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,21500.0,0.06587009803921569,0.2618254901960784,163200000.0,42729920.0,0.2618254901960784
20260422_102456,shd,bp,5,alif,500,1,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.03336850717140917,0.5993695175438597,0.6009362212334151,0.601215005861947,0.59375643398757,0.03409405768501992,0.5637254901960784,0.6247183515282572,0.5605528249870109,0.538847605371997,0.571078431372549,0.5466448371839909,24.488441944122314,4.820333480834961,38.99776244163513,297.9364720976533,169.28289365130303,3.3564202226044837,5.907271422591864,1602.1640625,1602.43359375,70.98583984375,154.0,94.59619140625,154.0,,./result/2layers/alif/SHD_alif_BP_20260422_102456_best_eval_confusion.csv,./result/2layers/alif/SHD_alif_BP_20260422_102456_final_eval_confusion.csv,./result/2layers/alif/SHD_alif_BP_20260422_102456_best_model.pth,./result/2layers/alif/SHD_alif_BP_20260422_102456_final_model.pth,0.0,0.0,19553208.0,0.257691358805668,52531200000.0,17560930800.0,17560930800.0,0.33429525310672514,19377265.0,0.26558751370614037,0.3362583313753133,51072000000.0,17173385500.0,0.3362583313753133,175943.0,0.060287486293859646,0.26558751370614037,1459200000.0,387545300.0,0.26558751370614037,2178720.0,0.2567307692307692,5875200000.0,1966405560.0,1966405560.0,0.33469593545751636,2158428.0,0.26451323529411763,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,20292.0,0.062169117647058826,0.26451323529411763,163200000.0,43168560.0,0.26451323529411763
20260422_102456,shd,bp,6,alif,500,1,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.032161749507251536,0.6377467105263158,0.6379079169721542,0.6400809056549585,0.6345032890063204,0.03384221666583828,0.5441176470588235,0.6531633570192811,0.539593007660234,0.5169219870502471,0.571078431372549,0.5466448371839909,24.484615564346313,4.800548076629639,38.97362756729126,297.9830326853975,169.9805911688517,3.3558957736220276,5.8830246037127925,1603.04296875,1602.74609375,70.98583984375,154.0,94.59619140625,154.0,,./result/2layers/alif/SHD_alif_BP_20260422_102456_best_eval_confusion.csv,./result/2layers/alif/SHD_alif_BP_20260422_102456_final_eval_confusion.csv,./result/2layers/alif/SHD_alif_BP_20260422_102456_best_model.pth,./result/2layers/alif/SHD_alif_BP_20260422_102456_final_model.pth,0.0,0.0,19569429.0,0.2579051350581984,52531200000.0,17563788120.0,17563788120.0,0.3343496459247076,19392956.0,0.26580257675438596,0.3363081336152882,51072000000.0,17175929000.0,0.3363081336152882,176473.0,0.06046909265350877,0.26580257675438596,1459200000.0,387859120.0,0.26580257675438596,2211869.0,0.2606369013951735,5875200000.0,1967139940.0,1967139940.0,0.33482093205337693,2195147.0,0.26901311274509804,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,16722.0,0.05123161764705882,0.26901311274509804,163200000.0,43902940.0,0.26901311274509804
20260422_102456,shd,bp,7,alif,500,1,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.03063250450711501,0.6779057017543859,0.6797873854918413,0.6802069736348624,0.6739552231754158,0.03172717542917121,0.6262254901960784,0.681548526814717,0.6170031017885449,0.5969926046366922,0.6262254901960784,0.5969926046366922,24.191675424575806,4.729138374328613,38.987863302230835,301.591347930708,172.5472877743498,3.315744986921026,5.795512713638007,1603.03125,1603.328125,70.98583984375,154.0,94.59619140625,154.0,,./result/2layers/alif/SHD_alif_BP_20260422_102456_best_eval_confusion.csv,./result/2layers/alif/SHD_alif_BP_20260422_102456_final_eval_confusion.csv,./result/2layers/alif/SHD_alif_BP_20260422_102456_best_model.pth,./result/2layers/alif/SHD_alif_BP_20260422_102456_final_model.pth,0.0,0.0,19881426.0,0.26201693762651823,52531200000.0,17571416260.0,17571416260.0,0.3344948575322856,19703938.0,0.27006493969298245,0.3363357123276942,51072000000.0,17177337500.0,0.3363357123276942,177488.0,0.06081688596491228,0.27006493969298245,1459200000.0,394078760.0,0.27006493969298245,2221454.0,0.26176635558069383,5875200000.0,1967280620.0,1967280620.0,0.3348448767701525,2202181.0,0.26987512254901963,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,19273.0,0.05904718137254902,0.26987512254901963,163200000.0,44043620.0,0.26987512254901963
20260422_102456,shd,bp,8,alif,500,1,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.029374725659165466,0.727796052631579,0.729801578237732,0.7297137126968007,0.7254485487380999,0.031283854707783346,0.6470588235294118,0.6771713307253997,0.6368061914013597,0.6271806792361924,0.6470588235294118,0.6271806792361924,24.659146070480347,4.905879974365234,38.94491672515869,295.8739925197206,166.33101589599758,3.3798171697478545,6.0121078117221005,1603.62109375,1603.3125,70.98583984375,154.0,94.59619140625,154.0,,./result/2layers/alif/SHD_alif_BP_20260422_102456_best_eval_confusion.csv,./result/2layers/alif/SHD_alif_BP_20260422_102456_final_eval_confusion.csv,./result/2layers/alif/SHD_alif_BP_20260422_102456_best_model.pth,./result/2layers/alif/SHD_alif_BP_20260422_102456_final_model.pth,0.0,0.0,20097843.0,0.26486909318066804,52531200000.0,17570523900.0,17570523900.0,0.33447787029422515,19918045.0,0.2729995202850877,0.3362343945802005,51072000000.0,17172163000.0,0.3362343945802005,179798.0,0.06160841557017544,0.2729995202850877,1459200000.0,398360900.0,0.2729995202850877,2224330.0,0.2621052507541478,5875200000.0,1967316660.0,1967316660.0,0.3348510110294118,2203983.0,0.27009595588235297,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,20347.0,0.06233762254901961,0.27009595588235297,163200000.0,44079660.0,0.27009595588235297
20260422_102456,shd,bp,9,alif,500,1,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.028391858726217037,0.7557565789473685,0.7568613179882002,0.7577227186386951,0.7535451834990751,0.03033992078374414,0.6642156862745098,0.6997904015924427,0.6481619909528933,0.6475128665220231,0.6642156862745098,0.6475128665220231,24.755292892456055,4.807035207748413,39.3013710975647,294.7248506287473,169.75120104897454,3.392995188110753,5.890974519299526,1603.84375,1604.125,70.98583984375,154.0,94.59619140625,154.0,,./result/2layers/alif/SHD_alif_BP_20260422_102456_best_eval_confusion.csv,./result/2layers/alif/SHD_alif_BP_20260422_102456_final_eval_confusion.csv,./result/2layers/alif/SHD_alif_BP_20260422_102456_best_model.pth,./result/2layers/alif/SHD_alif_BP_20260422_102456_final_model.pth,0.0,0.0,20220594.0,0.2664868262904858,52531200000.0,17579005580.0,17579005580.0,0.334639330150463,20040004.0,0.2746711074561404,0.33635270794172933,51072000000.0,17178205500.0,0.33635270794172933,180590.0,0.061879797149122805,0.2746711074561404,1459200000.0,400800080.0,0.2746711074561404,2249708.0,0.26509568250377075,5875200000.0,1967830420.0,1967830420.0,0.33493845656318083,2229671.0,0.2732439950980392,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,20037.0,0.06138786764705882,0.2732439950980392,163200000.0,44593420.0,0.2732439950980392
20260422_102456,shd,bp,10,alif,500,1,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.027690600865242773,0.7690515350877193,0.7706921478723208,0.7710077868080054,0.7676288008251053,0.029965840280056,0.6850490196078431,0.7163546364637143,0.6780159366280258,0.6681906528951551,0.6850490196078431,0.6681906528951551,24.144616842269897,5.0338146686553955,39.19175338745117,302.17915851234045,162.10370339636785,3.3092950715830454,6.168890525312984,1604.41796875,1603.84765625,70.98583984375,154.0,94.59619140625,154.0,,./result/2layers/alif/SHD_alif_BP_20260422_102456_best_eval_confusion.csv,./result/2layers/alif/SHD_alif_BP_20260422_102456_final_eval_confusion.csv,./result/2layers/alif/SHD_alif_BP_20260422_102456_best_model.pth,./result/2layers/alif/SHD_alif_BP_20260422_102456_final_model.pth,0.0,0.0,20347987.0,0.2681657362306005,52531200000.0,17581861380.0,17581861380.0,0.3346936940332602,20167394.0,0.2764171326754386,0.3363587386434837,51072000000.0,17178513500.0,0.3363587386434837,180593.0,0.061880825109649124,0.2764171326754386,1459200000.0,403347880.0,0.2764171326754386,2247660.0,0.2648543552036199,5875200000.0,1967764620.0,1967764620.0,0.3349272569444444,2226381.0,0.2728408088235294,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,21279.0,0.06519301470588235,0.2728408088235294,163200000.0,44527620.0,0.2728408088235294
