run_id,epoch,model,hidden_dim,num_layers,T,tau,v_threshold,v_reset,tau_response,tau_refractory,input_gain,lr,weight_decay,loss_name,target_rate,rate_lambda,confidence_lambda,eval_subset,train_acc,train_macro_precision,train_macro_recall,train_macro_f1,test_acc,test_macro_precision,test_macro_recall,test_macro_f1,best_test_acc,best_test_macro_f1,train_time_sec,test_time_sec,epoch_time_sec,train_speed,test_speed,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,test_confusion_path,best_test_confusion_path,final_test_confusion_path,best_model_path,final_model_path,layer_0_loss,layer_0_cls_loss,layer_0_mean_rate,layer_0_goodness,layer_1_loss,layer_1_cls_loss,layer_1_mean_rate,layer_1_goodness,train_total_spikes,train_global_spike_rate,train_dense_synops,train_event_synops,train_energy_proxy_synops,train_event_to_dense_ratio,train_layer_0_spike_count,train_layer_0_spike_rate,train_layer_0_active_input_rate,train_layer_0_dense_synops,train_layer_0_event_synops,train_layer_0_event_to_dense_ratio,train_layer_1_spike_count,train_layer_1_spike_rate,train_layer_1_active_input_rate,train_layer_1_dense_synops,train_layer_1_event_synops,train_layer_1_event_to_dense_ratio,test_total_spikes,test_global_spike_rate,test_dense_synops,test_event_synops,test_energy_proxy_synops,test_event_to_dense_ratio,test_layer_0_spike_count,test_layer_0_spike_rate,test_layer_0_active_input_rate,test_layer_0_dense_synops,test_layer_0_event_synops,test_layer_0_event_to_dense_ratio,test_layer_1_spike_count,test_layer_1_spike_rate,test_layer_1_active_input_rate,test_layer_1_dense_synops,test_layer_1_event_synops,test_layer_1_event_to_dense_ratio
20260424_000948,1,lif,500,1,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,ce,0.15,0.02,0.0,0,0.3224666666666667,0.46521717835908427,0.3206771266469626,0.2933002977434137,0.3388,0.47993677977847027,0.33673395953851276,0.30273624363147666,0.3388,0.30273624363147666,3.3356518745422363,0.710526704788208,7.923906564712524,17191.242418805927,14074.066368808439,0.05816915238808308,0.0710526704788208,1431.671875,1478.23828125,562.2490234375,666.0,661.529296875,786.0,,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_best_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_final_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_best_model.pth,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_final_model.pth,1.2198574457849776,1.2196427200521742,0.04693459852465561,1.7688751316496305,2.224280732018607,2.224280732018607,0.015161656508488315,-0.23420061383928573,20844303.0,0.06811863725490196,238200000000.0,45177605140.0,45177605140.0,0.18966249009235936,20682514.0,0.06894171333333333,0.19120229591836735,235200000000.0,44970780000.0,0.19120229591836735,161789.0,0.026964833333333334,0.06894171333333333,3000000000.0,206825140.0,0.06894171333333333,3581256.0,0.07022070588235294,39700000000.0,7591631770.0,7591631770.0,0.19122498161209067,3553677.0,0.07107354,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,27579.0,0.027579,0.07107354,500000000.0,35536770.0,0.07107354
20260424_000948,2,lif,500,1,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,ce,0.15,0.02,0.0,0,0.6146,0.657633560328929,0.6122925940221038,0.6132112853658231,0.6333,0.672930441800751,0.6318840582643384,0.6318949910781467,0.6333,0.6318949910781467,3.390897750854492,0.7254056930541992,7.6087377071380615,16911.155750877344,13785.389466543438,0.05913256401462214,0.07254056930541992,1469.6875,1476.9453125,562.2490234375,786.0,661.529296875,786.0,,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_best_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_final_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_best_model.pth,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_final_model.pth,0.46641461338315693,0.4663231862442834,0.08277152159384318,6.763111114501953,1.584364414215088,1.584364414215088,0.04117640999278852,0.6679861886160714,28245602.0,0.0923058888888889,238200000000.0,45249671190.0,45249671190.0,0.18996503438287154,27889119.0,0.09296373,0.19120229591836735,235200000000.0,44970780000.0,0.19120229591836735,356483.0,0.05941383333333333,0.09296373,3000000000.0,278891190.0,0.09296373,4840985.0,0.09492127450980392,39700000000.0,7603891340.0,7603891340.0,0.19153378690176323,4779634.0,0.09559268,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,61351.0,0.061351,0.09559268,500000000.0,47796340.0,0.09559268
20260424_000948,3,lif,500,1,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,ce,0.15,0.02,0.0,0,0.72965,0.739905194426911,0.7245688758174735,0.7203846610115219,0.7411,0.7518509212528557,0.7363861922714843,0.732433026706279,0.7411,0.732433026706279,3.4308371543884277,0.7303457260131836,7.682005167007446,16714.287918518825,13692.145574107855,0.059829051938972304,0.07303457260131836,1469.47265625,1468.98046875,562.2490234375,786.0,661.529296875,786.0,,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_best_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_final_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_best_model.pth,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_final_model.pth,0.3566694493804659,0.35661076647894724,0.09586065209337644,7.760047333581107,1.009128132036754,1.009128132036754,0.07478079838412148,1.4967041015625,29971347.0,0.09794557843137255,238200000000.0,45265337400.0,45265337400.0,0.19003080352644836,29455740.0,0.0981858,0.19120229591836735,235200000000.0,44970780000.0,0.19120229591836735,515607.0,0.0859345,0.0981858,3000000000.0,294557400.0,0.0981858,5134215.0,0.10067088235294118,39700000000.0,7606552640.0,7606552640.0,0.19160082216624685,5045764.0,0.10091528,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,88451.0,0.088451,0.10091528,500000000.0,50457640.0,0.10091528
20260424_000948,4,lif,500,1,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,ce,0.15,0.02,0.0,0,0.7879,0.7899205085005645,0.7838079977132593,0.7809540512909356,0.8047,0.8072715499212461,0.8011905485777951,0.7988344562096762,0.8047,0.7988344562096762,3.4347972869873047,0.7139267921447754,7.660428285598755,16695.01726266268,14007.038410700414,0.059898111170956066,0.07139267921447753,1469.4609375,1469.48828125,562.2490234375,786.0,661.529296875,786.0,,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_best_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_final_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_best_model.pth,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_final_model.pth,0.2797836789063045,0.2797320197735514,0.0991825679583209,7.487028019768851,0.746755770274571,0.746755770274571,0.09144810533949307,2.0831298828125,30685914.0,0.10028076470588235,238200000000.0,45271988260.0,45271988260.0,0.19005872485306466,30120826.0,0.10040275333333333,0.19120229591836735,235200000000.0,44970780000.0,0.19120229591836735,565088.0,0.09418133333333334,0.10040275333333333,3000000000.0,301208260.0,0.10040275333333333,5253753.0,0.10301476470588235,39700000000.0,7607664110.0,7607664110.0,0.19162881889168765,5156911.0,0.10313822,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,96842.0,0.096842,0.10313822,500000000.0,51569110.0,0.10313822
20260424_000948,5,lif,500,1,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,ce,0.15,0.02,0.0,0,0.8274,0.829828914927254,0.8241630166130687,0.822815092956499,0.8376,0.8401131942697848,0.8346879972931651,0.8333211674605142,0.8376,0.8333211674605142,3.462587356567383,0.713137149810791,7.668843507766724,16561.026219667037,14022.548120867343,0.06038273152496133,0.07131371498107911,1469.4921875,1469.5,562.2490234375,786.0,661.529296875,786.0,,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_best_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_final_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_best_model.pth,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_final_model.pth,0.23515138455799647,0.2351043980036463,0.10154304653406143,7.178815977913993,0.6089344280106681,0.6089344280106681,0.09309710136481694,2.5695277622767856,31618654.0,0.10332893464052288,238200000000.0,45281442880.0,45281442880.0,0.19009841679261125,31066288.0,0.10355429333333334,0.19120229591836735,235200000000.0,44970780000.0,0.19120229591836735,552366.0,0.092061,0.10355429333333334,3000000000.0,310662880.0,0.10355429333333334,5412825.0,0.10613382352941177,39700000000.0,7609276230.0,7609276230.0,0.1916694264483627,5318123.0,0.10636246,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,94702.0,0.094702,0.10636246,500000000.0,53181230.0,0.10636246
20260424_000948,6,lif,500,1,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,ce,0.15,0.02,0.0,0,0.8553166666666666,0.8569229349253839,0.8529900246581654,0.852238284117542,0.863,0.8650207581048855,0.8609098351111723,0.8604579928028417,0.863,0.8604579928028417,3.415494918823242,0.7451057434082031,7.689009189605713,16789.3676796208,13420.913861512863,0.05956150458327362,0.07451057434082031,1470.0078125,1470.01171875,562.2490234375,786.0,661.529296875,786.0,,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_best_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_final_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_best_model.pth,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_final_model.pth,0.20374976098537445,0.2037097950066839,0.10532252384083611,7.14688914162772,0.5164109149149486,0.5164109149149486,0.09087455006582397,3.0484444754464284,32805881.0,0.1072087614379085,238200000000.0,45293387420.0,45293387420.0,0.19014856179680942,32260742.0,0.10753580666666666,0.19120229591836735,235200000000.0,44970780000.0,0.19120229591836735,545139.0,0.0908565,0.10753580666666666,3000000000.0,322607420.0,0.10753580666666666,5614710.0,0.11009235294117647,39700000000.0,7611308550.0,7611308550.0,0.19172061838790933,5521355.0,0.1104271,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,93355.0,0.093355,0.1104271,500000000.0,55213550.0,0.1104271
20260424_000948,7,lif,500,1,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,ce,0.15,0.02,0.0,0,0.8773666666666666,0.878052613573586,0.875438332047608,0.8750903259897432,0.8796,0.8808402915387626,0.8776687820194793,0.877470229575119,0.8796,0.877470229575119,3.4362640380859375,0.7242622375488281,7.687075614929199,16687.891082997703,13807.153654515672,0.05992368928023747,0.07242622375488281,1470.0234375,1470.03125,562.2490234375,786.0,661.529296875,786.0,,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_best_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_final_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_best_model.pth,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_final_model.pth,0.1776619010737964,0.17762908126626695,0.10951879833425794,7.258020401000977,0.4445335439273289,0.4445335439273289,0.0899274583373751,3.473231724330357,34080678.0,0.11137476470588235,238200000000.0,45306174130.0,45306174130.0,0.19020224235936187,33539413.0,0.11179804333333333,0.19120229591836735,235200000000.0,44970780000.0,0.19120229591836735,541265.0,0.09021083333333334,0.11179804333333333,3000000000.0,335394130.0,0.11179804333333333,5831208.0,0.11433741176470588,39700000000.0,7613482840.0,7613482840.0,0.1917753863979849,5738784.0,0.11477568,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,92424.0,0.092424,0.11477568,500000000.0,57387840.0,0.11477568
20260424_000948,8,lif,500,1,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,ce,0.15,0.02,0.0,0,0.8912666666666667,0.8917206909978799,0.8897905377005945,0.8895064430497872,0.8931,0.893853342796017,0.8917676227001827,0.8914259172813412,0.8931,0.8914259172813412,3.4082183837890625,0.7178685665130615,7.638949394226074,16825.212924369072,13930.126580933184,0.05943461188248226,0.07178685665130616,1470.0234375,1470.02734375,562.2490234375,786.0,661.529296875,786.0,,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_best_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_final_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_best_model.pth,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_final_model.pth,0.15542584657669067,0.15539924374648503,0.11356051904814583,7.317521095275879,0.3917343829359327,0.3917343829359327,0.09025198913046292,3.8108956473214284,35189549.0,0.11499852614379084,238200000000.0,45317217550.0,45317217550.0,0.1902486043240974,34643755.0,0.11547918333333333,0.19120229591836735,235200000000.0,44970780000.0,0.19120229591836735,545794.0,0.09096566666666667,0.11547918333333333,3000000000.0,346437550.0,0.11547918333333333,6020962.0,0.11805807843137255,39700000000.0,7615373350.0,7615373350.0,0.19182300629722923,5927835.0,0.1185567,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,93127.0,0.093127,0.1185567,500000000.0,59278350.0,0.1185567
20260424_000948,9,lif,500,1,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,ce,0.15,0.02,0.0,0,0.90345,0.9038044974360829,0.9022771261066425,0.9020572645551436,0.9034,0.9040750817229629,0.9021853845841216,0.9019464536675296,0.9034,0.9019464536675296,3.42089581489563,0.7212789058685303,7.6629719734191895,16762.860695817344,13864.262379832762,0.05965568873632167,0.07212789058685302,1470.03515625,1470.04296875,562.2490234375,786.0,661.529296875,786.0,,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_best_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_final_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_best_model.pth,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_final_model.pth,0.13879472762346268,0.13877318373748235,0.11720836109348706,7.4517959186009,0.3511373762573515,0.3511373762573515,0.09155640006065369,4.090244838169643,36357165.0,0.11881426470588236,238200000000.0,45328812380.0,45328812380.0,0.1902972811922754,35803238.0,0.11934412666666666,0.19120229591836735,235200000000.0,44970780000.0,0.19120229591836735,553927.0,0.09232116666666666,0.11934412666666666,3000000000.0,358032380.0,0.11934412666666666,6220579.0,0.12197213725490196,39700000000.0,7617356270.0,7617356270.0,0.1918729539042821,6126127.0,0.12252254,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,94452.0,0.094452,0.12252254,500000000.0,61261270.0,0.12252254
20260424_000948,10,lif,500,1,10,2.0,0.5,0.0,2.0,10.0,1.0,0.0008,0.0,ce,0.15,0.02,0.0,0,0.9129666666666667,0.9129803514550037,0.9118575710774202,0.9117992668319046,0.9106,0.910808322249404,0.9093387220337826,0.9093162096714341,0.9106,0.9093162096714341,3.448969841003418,0.7313313484191895,7.661315679550171,16626.41386951553,13673.692535696053,0.06014526089919465,0.07313313484191894,1472.05078125,1470.55859375,562.2490234375,786.0,661.529296875,786.0,,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_best_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_final_test_confusion.csv,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_best_model.pth,./result/new/MNIST_lif_LocalGreedy_v2_20260424_000948_final_model.pth,0.12235374961580549,0.12233696611864227,0.12107356850590024,7.635169233594622,0.31577578825610025,0.31577578825610025,0.09270037178482328,4.353236607142857,37454666.0,0.12240086928104575,238200000000.0,45339694680.0,45339694680.0,0.19034296675062973,36891468.0,0.12297156,0.19120229591836735,235200000000.0,44970780000.0,0.19120229591836735,563198.0,0.09386633333333333,0.12297156,3000000000.0,368914680.0,0.12297156,6408473.0,0.12565633333333334,39700000000.0,7619217580.0,7619217580.0,0.19191983828715364,6312258.0,0.12624516,0.1927575255102041,39200000000.0,7556095000.0,0.1927575255102041,96215.0,0.096215,0.12624516,500000000.0,63122580.0,0.12624516
