run_id,dataset,method,epoch,model,hidden_dim,num_layers,T,split_by,val_ratio,label_mode,input_normalize,current_normalize,goodness_mode,ff_loss,neg_k,predict_layers,tau,v_threshold,v_reset,tau_response,tau_refractory,input_gain,lr,lr_schedule,weight_decay,alpha,theta,label_scale,train_acc,train_macro_precision,train_macro_recall,train_macro_f1,test_acc,test_macro_precision,test_macro_recall,test_macro_f1,heldout_test_acc,heldout_test_macro_f1,best_test_acc,best_test_macro_f1,train_time_sec,test_time_sec,epoch_time_sec,train_speed,test_speed,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,test_confusion_path,best_test_confusion_path,final_test_confusion_path,best_model_path,final_model_path,layer_0_loss,layer_1_loss,train_total_spikes,train_global_spike_rate,train_dense_synops,train_event_synops,train_energy_proxy_synops,train_event_to_dense_ratio,train_layer_0_spike_count,train_layer_0_spike_rate,train_layer_0_active_input_rate,train_layer_0_dense_synops,train_layer_0_event_synops,train_layer_0_event_to_dense_ratio,train_layer_1_spike_count,train_layer_1_spike_rate,train_layer_1_active_input_rate,train_layer_1_dense_synops,train_layer_1_event_synops,train_layer_1_event_to_dense_ratio,test_total_spikes,test_global_spike_rate,test_dense_synops,test_event_synops,test_energy_proxy_synops,test_event_to_dense_ratio,test_layer_0_spike_count,test_layer_0_spike_rate,test_layer_0_active_input_rate,test_layer_0_dense_synops,test_layer_0_event_synops,test_layer_0_event_to_dense_ratio,test_layer_1_spike_count,test_layer_1_spike_rate,test_layer_1_active_input_rate,test_layer_1_dense_synops,test_layer_1_event_synops,test_layer_1_event_to_dense_ratio
20260503_153945,shd,ff_v3,1,lif,500,2,10,time,0.1,append,none,hidden,rate,swish,3,all,2.0,0.5,0.0,2.0,10.0,1.0,0.001,constant,0.0,4.0,2.0,5.0,0.3173828125,0.4678982399645638,0.3151051322424512,0.27151251309519225,0.31985294117647056,0.4216778595243519,0.32237580092082013,0.2739501491816582,0.32685512367491165,0.27586684104366743,0.31985294117647056,0.2739501491816582,2.860769510269165,0.7454671859741211,6.304644346237183,2505.619545464736,1094.6155851698716,0.3991028892674616,0.9135627279094621,1535.75,1539.62109375,260.578125,384.0,119.97705078125,384.0,,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_best_eval_confusion.csv,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_final_eval_confusion.csv,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_best_model.pth,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_final_model.pth,-0.028530518399618034,0.0,284208800.0,0.19824832589285715,874496000000.0,289875150000.0,289875150000.0,0.33147681636050935,284208800.0,0.3964966517857143,0.2863241528707837,516096000000.0,147770750000.0,0.2863241528707837,0.0,0.0,0.3964966517857143,358400000000.0,142104400000.0,0.3964966517857143,32275360.0,0.1977656862745098,99552000000.0,32829230000.0,32829230000.0,0.3297696681131469,32275360.0,0.3955313725490196,0.2841018178104575,58752000000.0,16691550000.0,0.2841018178104575,0.0,0.0,0.3955313725490196,40800000000.0,16137680000.0,0.3955313725490196
20260503_153945,shd,ff_v3,2,lif,500,2,10,time,0.1,append,none,hidden,rate,swish,3,all,2.0,0.5,0.0,2.0,10.0,1.0,0.001,constant,0.0,4.0,2.0,5.0,0.4242466517857143,0.5791834656279884,0.4232929782187049,0.42760316774362794,0.3946078431372549,0.5326034240670641,0.399852045287565,0.39052708024187105,0.4125441696113074,0.3878953034628664,0.3946078431372549,0.39052708024187105,2.2813847064971924,0.41777944564819336,4.902868032455444,3141.9514558794654,1953.1836917777496,0.31827353606266634,0.5119846147649428,1544.29296875,1544.29296875,259.61962890625,384.0,119.97705078125,384.0,,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_best_eval_confusion.csv,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_final_eval_confusion.csv,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_best_model.pth,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_final_model.pth,-0.06103954344455685,0.0,292506109.0,0.2040360693359375,874496000000.0,293995344500.0,293995344500.0,0.33618832390313963,292506109.0,0.408072138671875,0.28626900809151784,516096000000.0,147742290000.0,0.28626900809151784,0.0,0.0,0.408072138671875,358400000000.0,146253054500.0,0.408072138671875,33206174.0,0.20346920343137254,99552000000.0,33294637000.0,33294637000.0,0.33444468217614914,33206174.0,0.4069384068627451,0.2841018178104575,58752000000.0,16691550000.0,0.2841018178104575,0.0,0.0,0.4069384068627451,40800000000.0,16603087000.0,0.4069384068627451
20260503_153945,shd,ff_v3,3,lif,500,2,10,time,0.1,append,none,hidden,rate,swish,3,all,2.0,0.5,0.0,2.0,10.0,1.0,0.001,constant,0.0,4.0,2.0,5.0,0.47377232142857145,0.5610642036699931,0.4737286447883595,0.45324721375139304,0.45588235294117646,0.49657510745970923,0.46388378974076144,0.4371431901514642,0.49381625441696114,0.4736414012618765,0.45588235294117646,0.4371431901514642,2.3413922786712646,0.39612865447998047,4.926777362823486,3061.4263424785127,2059.9368179290323,0.32664512816284386,0.48545178245095644,1546.30859375,1544.3203125,259.61962890625,384.0,119.97705078125,384.0,,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_best_eval_confusion.csv,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_final_eval_confusion.csv,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_best_model.pth,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_final_model.pth,-0.07856237036841256,0.0,292061250.0,0.20372576032366072,874496000000.0,293782245000.0,293782245000.0,0.3359446412562207,292061250.0,0.40745152064732143,0.2862870861235119,516096000000.0,147751620000.0,0.2862870861235119,0.0,0.0,0.40745152064732143,358400000000.0,146030625000.0,0.40745152064732143,33154159.0,0.20315048406862746,99552000000.0,33268629500.0,33268629500.0,0.33418343679684986,33154159.0,0.4063009681372549,0.2841018178104575,58752000000.0,16691550000.0,0.2841018178104575,0.0,0.0,0.4063009681372549,40800000000.0,16577079500.0,0.4063009681372549
20260503_153945,shd,ff_v3,4,lif,500,2,10,time,0.1,append,none,hidden,rate,swish,3,all,2.0,0.5,0.0,2.0,10.0,1.0,0.001,constant,0.0,4.0,2.0,5.0,0.44740513392857145,0.6640520590867421,0.4453031719072101,0.4491673339878723,0.4215686274509804,0.5825309709697924,0.4286352508237348,0.42181048968701057,0.446113074204947,0.41833322282121943,0.45588235294117646,0.4371431901514642,2.298654794692993,0.41389894485473633,4.892756223678589,3118.3455717444313,1971.4957241226762,0.3206828675631966,0.5072290990866867,1544.328125,1544.3359375,259.61962890625,384.0,119.97705078125,384.0,,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_best_eval_confusion.csv,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_final_eval_confusion.csv,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_best_model.pth,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_final_model.pth,-0.08871658093162946,0.0,297652321.0,0.20762578194754464,874496000000.0,296615130500.0,296615130500.0,0.33918409060761856,297652321.0,0.41525156389508927,0.2863594563802083,516096000000.0,147788970000.0,0.2863594563802083,0.0,0.0,0.41525156389508927,358400000000.0,148826160500.0,0.41525156389508927,33787517.0,0.20703135416666665,99552000000.0,33585308500.0,33585308500.0,0.33736447786081647,33787517.0,0.4140627083333333,0.2841018178104575,58752000000.0,16691550000.0,0.2841018178104575,0.0,0.0,0.4140627083333333,40800000000.0,16893758500.0,0.4140627083333333
20260503_153945,shd,ff_v3,5,lif,500,2,10,time,0.1,append,none,hidden,rate,swish,3,all,2.0,0.5,0.0,2.0,10.0,1.0,0.001,constant,0.0,4.0,2.0,5.0,0.5407366071428571,0.6535970699714644,0.5404436611887045,0.5432931730778796,0.5012254901960784,0.6145521954641524,0.509676788351641,0.5037699128425107,0.5163427561837456,0.49170992541699504,0.5012254901960784,0.5037699128425107,2.3495125770568848,0.414381742477417,4.959823369979858,3050.8455540931773,1969.198727534359,0.32777798229030203,0.5078207628399718,1548.37109375,1544.37890625,259.61962890625,384.0,119.97705078125,384.0,,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_best_eval_confusion.csv,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_final_eval_confusion.csv,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_best_model.pth,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_final_model.pth,-0.09685950965753623,0.0,297686387.0,0.20764954450334822,874496000000.0,296568273500.0,296568273500.0,0.33913050888740487,297686387.0,0.41529908900669643,0.28623566158234126,516096000000.0,147725080000.0,0.28623566158234126,0.0,0.0,0.41529908900669643,358400000000.0,148843193500.0,0.41529908900669643,33791983.0,0.2070587193627451,99552000000.0,33587541500.0,33587541500.0,0.3373869083494053,33791983.0,0.4141174387254902,0.2841018178104575,58752000000.0,16691550000.0,0.2841018178104575,0.0,0.0,0.4141174387254902,40800000000.0,16895991500.0,0.4141174387254902
20260503_153945,shd,ff_v3,6,lif,500,2,10,time,0.1,append,none,hidden,rate,swish,3,all,2.0,0.5,0.0,2.0,10.0,1.0,0.001,constant,0.0,4.0,2.0,5.0,0.5244140625,0.6574864448211513,0.5219197506334943,0.5182677739654253,0.4791666666666667,0.5914267095985083,0.4947061561175956,0.47105818320192894,0.49337455830388693,0.4771704224835903,0.5012254901960784,0.5037699128425107,2.3264689445495605,0.41031599044799805,4.889340162277222,3081.0641237198347,1988.711186003405,0.32456318980881144,0.5028382235882329,1550.38671875,1544.390625,259.61962890625,384.0,119.97705078125,384.0,,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_best_eval_confusion.csv,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_final_eval_confusion.csv,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_best_model.pth,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_final_model.pth,-0.10203079027788979,0.0,297640893.0,0.20761781040736607,874496000000.0,296508286500.0,296508286500.0,0.3390619128046326,297640893.0,0.41523562081473214,0.28616350446428573,516096000000.0,147687840000.0,0.28616350446428573,0.0,0.0,0.41523562081473214,358400000000.0,148820446500.0,0.41523562081473214,33777634.0,0.20697079656862746,99552000000.0,33580367000.0,33580367000.0,0.33731484048537447,33777634.0,0.4139415931372549,0.2841018178104575,58752000000.0,16691550000.0,0.2841018178104575,0.0,0.0,0.4139415931372549,40800000000.0,16888817000.0,0.4139415931372549
20260503_153945,shd,ff_v3,7,lif,500,2,10,time,0.1,append,none,hidden,rate,swish,3,all,2.0,0.5,0.0,2.0,10.0,1.0,0.001,constant,0.0,4.0,2.0,5.0,0.6030970982142857,0.679162880669969,0.6029340979754247,0.608978562001641,0.5747549019607843,0.662205007303118,0.5796049460378103,0.5735891521736611,0.5454946996466431,0.5318172810122899,0.5747549019607843,0.5735891521736611,2.3217480182647705,0.39844608306884766,4.8880298137664795,3087.329005391905,2047.9558833032952,0.3239045784409557,0.48829176846672506,1548.921875,1543.94921875,259.61962890625,384.0,119.97705078125,384.0,,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_best_eval_confusion.csv,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_final_eval_confusion.csv,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_best_model.pth,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_final_model.pth,-0.10592272292290415,0.0,296454605.0,0.20679032156808036,874496000000.0,295930412500.0,295930412500.0,0.3384011047506221,296454605.0,0.4135806431361607,0.2861930919828869,516096000000.0,147703110000.0,0.2861930919828869,0.0,0.0,0.4135806431361607,358400000000.0,148227302500.0,0.4135806431361607,33642852.0,0.20614492647058824,99552000000.0,33512976000.0,33512976000.0,0.33663789778206366,33642852.0,0.4122898529411765,0.2841018178104575,58752000000.0,16691550000.0,0.2841018178104575,0.0,0.0,0.4122898529411765,40800000000.0,16821426000.0,0.4122898529411765
20260503_153945,shd,ff_v3,8,lif,500,2,10,time,0.1,append,none,hidden,rate,swish,3,all,2.0,0.5,0.0,2.0,10.0,1.0,0.001,constant,0.0,4.0,2.0,5.0,0.5484095982142857,0.6951154107012454,0.5468645706942352,0.543319412325362,0.49387254901960786,0.6531529732662922,0.5073745262800085,0.4894804132861479,0.5220848056537103,0.49359536145821964,0.5747549019607843,0.5735891521736611,2.274001359939575,0.4174201488494873,4.850218296051025,3152.15290820691,1954.8649058966053,0.3172434932951416,0.5115443000606462,1550.45703125,1543.96484375,259.61962890625,384.0,119.97705078125,384.0,,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_best_eval_confusion.csv,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_final_eval_confusion.csv,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_best_model.pth,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_final_model.pth,-0.10943894008440631,0.0,297646666.0,0.2076218373325893,874496000000.0,296592773000.0,296592773000.0,0.33915852445294203,297646666.0,0.4152436746651786,0.28632161458333333,516096000000.0,147769440000.0,0.28632161458333333,0.0,0.0,0.4152436746651786,358400000000.0,148823333000.0,0.4152436746651786,33785550.0,0.20701930147058822,99552000000.0,33584325000.0,33584325000.0,0.3373545986017358,33785550.0,0.41403860294117645,0.2841018178104575,58752000000.0,16691550000.0,0.2841018178104575,0.0,0.0,0.41403860294117645,40800000000.0,16892775000.0,0.41403860294117645
20260503_153945,shd,ff_v3,9,lif,500,2,10,time,0.1,append,none,hidden,rate,swish,3,all,2.0,0.5,0.0,2.0,10.0,1.0,0.001,constant,0.0,4.0,2.0,5.0,0.6071428571428571,0.7098691342650876,0.6055588492348887,0.5974554175389919,0.571078431372549,0.6725637563318732,0.578875822165613,0.557101879198795,0.5300353356890459,0.49996146671523034,0.5747549019607843,0.5735891521736611,2.3274991512298584,0.41942787170410156,4.953711986541748,3079.700371195583,1945.507332845235,0.32470691283898695,0.5140047447354186,1549.98828125,1544.015625,259.61962890625,384.0,119.97705078125,384.0,,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_best_eval_confusion.csv,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_final_eval_confusion.csv,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_best_model.pth,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_final_model.pth,-0.11200823102678571,0.0,298562616.0,0.20826075334821428,874496000000.0,296990168000.0,296990168000.0,0.3396129519174473,298562616.0,0.41652150669642857,0.28620423332093253,516096000000.0,147708860000.0,0.28620423332093253,0.0,0.0,0.41652150669642857,358400000000.0,149281308000.0,0.41652150669642857,33886351.0,0.20763695465686274,99552000000.0,33634725500.0,33634725500.0,0.3378608717052395,33886351.0,0.4152739093137255,0.2841018178104575,58752000000.0,16691550000.0,0.2841018178104575,0.0,0.0,0.4152739093137255,40800000000.0,16943175500.0,0.4152739093137255
20260503_153945,shd,ff_v3,10,lif,500,2,10,time,0.1,append,none,hidden,rate,swish,3,all,2.0,0.5,0.0,2.0,10.0,1.0,0.001,constant,0.0,4.0,2.0,5.0,0.5998883928571429,0.7100684553842378,0.5986205377982461,0.6115341328146223,0.5453431372549019,0.6575649870830991,0.5545472374828149,0.5511744992173426,0.5353356890459364,0.523466469252693,0.5747549019607843,0.5735891521736611,2.293656349182129,0.44142746925354004,4.925305128097534,3125.14121941413,1848.548304843528,0.31998553978545324,0.5409650358499265,1546.0234375,1543.69140625,259.61962890625,384.0,119.97705078125,384.0,,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_best_eval_confusion.csv,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_final_eval_confusion.csv,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_best_model.pth,./result/v3/lif/SHD_lif_FF_v3_20260503_153945_final_model.pth,-0.11385588986533028,0.0,295741612.0,0.2062929771205357,874496000000.0,295560386000.0,295560386000.0,0.337977973598507,295741612.0,0.4125859542410714,0.2861668759300595,516096000000.0,147689580000.0,0.2861668759300595,0.0,0.0,0.4125859542410714,358400000000.0,147870806000.0,0.4125859542410714,33570080.0,0.20569901960784315,99552000000.0,33476590000.0,33476590000.0,0.3362724003535841,33570080.0,0.4113980392156863,0.2841018178104575,58752000000.0,16691550000.0,0.2841018178104575,0.0,0.0,0.4113980392156863,40800000000.0,16785040000.0,0.4113980392156863
