run_id,dataset,method,epoch,model,hidden_dim,num_layers,T,split_by,val_ratio,tau,v_threshold,v_reset,tau_response,tau_refractory,input_gain,lr,weight_decay,train_loss,train_acc,train_macro_precision,train_macro_recall,train_macro_f1,test_loss,test_acc,test_macro_precision,test_macro_recall,test_macro_f1,best_test_acc,best_test_macro_f1,train_time_sec,test_time_sec,epoch_time_sec,train_speed,test_speed,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,test_confusion_path,best_test_confusion_path,final_test_confusion_path,best_model_path,final_model_path,layer_0_loss,layer_1_loss,train_total_spikes,train_global_spike_rate,train_dense_synops,train_event_synops,train_energy_proxy_synops,train_event_to_dense_ratio,train_layer_0_spike_count,train_layer_0_spike_rate,train_layer_0_active_input_rate,train_layer_0_dense_synops,train_layer_0_event_synops,train_layer_0_event_to_dense_ratio,train_layer_1_spike_count,train_layer_1_spike_rate,train_layer_1_active_input_rate,train_layer_1_dense_synops,train_layer_1_event_synops,train_layer_1_event_to_dense_ratio,test_total_spikes,test_global_spike_rate,test_dense_synops,test_event_synops,test_energy_proxy_synops,test_event_to_dense_ratio,test_layer_0_spike_count,test_layer_0_spike_rate,test_layer_0_active_input_rate,test_layer_0_dense_synops,test_layer_0_event_synops,test_layer_0_event_to_dense_ratio,test_layer_1_spike_count,test_layer_1_spike_rate,test_layer_1_active_input_rate,test_layer_1_dense_synops,test_layer_1_event_synops,test_layer_1_event_to_dense_ratio
20260422_101055,shd,bp,1,lif,500,1,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.04741015736209719,0.17310855263157895,0.15386416461238153,0.17329672608867733,0.15724920947574705,0.04291574934533998,0.2769607843137255,0.252429618494987,0.2790269871149754,0.22688086215523975,0.2769607843137255,0.22688086215523975,22.7020161151886,5.541912794113159,38.622618675231934,321.38114795534267,147.24158071682177,3.1115701912265075,6.791559796707303,1505.62890625,1561.66796875,65.76220703125,98.0,85.234375,138.0,,./result/2layers/lif/SHD_lif_BP_20260422_101055_best_eval_confusion.csv,./result/2layers/lif/SHD_lif_BP_20260422_101055_final_eval_confusion.csv,./result/2layers/lif/SHD_lif_BP_20260422_101055_best_model.pth,./result/2layers/lif/SHD_lif_BP_20260422_101055_final_model.pth,0.0,0.0,19164022.0,0.25256228386470986,52531200000.0,17555195760.0,17555195760.0,0.33418607913011694,19053938.0,0.2611559484649123,0.33627265429197994,51072000000.0,17174117000.0,0.33627265429197994,110084.0,0.03772066885964912,0.2611559484649123,1459200000.0,381078760.0,0.2611559484649123,2157718.0,0.25425598604826544,5875200000.0,1966068120.0,1966068120.0,0.3346385008169935,2141556.0,0.2624455882352941,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,16162.0,0.04951593137254902,0.2624455882352941,163200000.0,42831120.0,0.2624455882352941
20260422_101055,shd,bp,2,lif,500,1,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.04064204739896875,0.3529331140350877,0.3418000142524983,0.35480941698036556,0.3301258143364661,0.039033241862175515,0.4056372549019608,0.44534427468287596,0.40254587078619586,0.36941206663847714,0.4056372549019608,0.36941206663847714,22.99562382698059,4.707443714141846,38.01218509674072,317.27775923346155,173.3424868254117,3.151812476285717,5.768926120271869,1599.69921875,1594.70703125,65.76220703125,138.0,84.8115234375,138.0,,./result/2layers/lif/SHD_lif_BP_20260422_101055_best_eval_confusion.csv,./result/2layers/lif/SHD_lif_BP_20260422_101055_final_eval_confusion.csv,./result/2layers/lif/SHD_lif_BP_20260422_101055_best_model.pth,./result/2layers/lif/SHD_lif_BP_20260422_101055_final_model.pth,0.0,0.0,19026600.0,0.2507512019230769,52531200000.0,17547528960.0,17547528960.0,0.33404013157894735,18874023.0,0.2586900082236842,0.3361929922462406,51072000000.0,17170048500.0,0.3361929922462406,152577.0,0.05228104440789474,0.2586900082236842,1459200000.0,377480460.0,0.2586900082236842,2118681.0,0.2496560378959276,5875200000.0,1965234080.0,1965234080.0,0.3344965413943355,2099854.0,0.25733504901960785,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,18827.0,0.057680759803921566,0.25733504901960785,163200000.0,41997080.0,0.25733504901960785
20260422_101055,shd,bp,3,lif,500,1,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.03713104834682063,0.4780701754385965,0.48218652375933846,0.4794915878308454,0.4643090118684481,0.03665533084787574,0.47549019607843135,0.5502016988264259,0.4655577533941937,0.4436757216421571,0.47549019607843135,0.4436757216421571,22.17756986618042,3.9694695472717285,34.860841512680054,328.98104003387675,205.5690288796517,3.0396888522725356,4.864546013813393,1596.74609375,1594.7578125,65.76220703125,138.0,84.8115234375,138.0,,./result/2layers/lif/SHD_lif_BP_20260422_101055_best_eval_confusion.csv,./result/2layers/lif/SHD_lif_BP_20260422_101055_final_eval_confusion.csv,./result/2layers/lif/SHD_lif_BP_20260422_101055_best_model.pth,./result/2layers/lif/SHD_lif_BP_20260422_101055_final_model.pth,0.0,0.0,19148527.0,0.25235807555246287,52531200000.0,17543958540.0,17543958540.0,0.3339721639711257,18979752.0,0.26013914473684213,0.336081678806391,51072000000.0,17164363500.0,0.336081678806391,168775.0,0.057831345942982455,0.26013914473684213,1459200000.0,379595040.0,0.26013914473684213,2145364.0,0.2528002450980392,5875200000.0,1965723480.0,1965723480.0,0.3345798406862745,2124324.0,0.26033382352941176,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,21040.0,0.0644607843137255,0.26033382352941176,163200000.0,42486480.0,0.26033382352941176
20260422_101055,shd,bp,4,lif,500,1,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.03513193888622418,0.5393366228070176,0.5455723705462839,0.5405992288404364,0.5281899386065622,0.03476210289141711,0.5759803921568627,0.6058941233068043,0.5749744556091676,0.5574915009262843,0.5759803921568627,0.5574915009262843,24.271651029586792,4.43482780456543,39.04855799674988,300.597598041694,183.99812483361123,3.326706555590295,5.434837995790968,1594.7734375,1594.78125,65.76220703125,138.0,84.8115234375,138.0,,./result/2layers/lif/SHD_lif_BP_20260422_101055_best_eval_confusion.csv,./result/2layers/lif/SHD_lif_BP_20260422_101055_final_eval_confusion.csv,./result/2layers/lif/SHD_lif_BP_20260422_101055_best_model.pth,./result/2layers/lif/SHD_lif_BP_20260422_101055_final_model.pth,0.0,0.0,19396759.0,0.25562952039051956,52531200000.0,17555525080.0,17555525080.0,0.334192348166423,19223754.0,0.26348347039473685,0.3362126018170426,51072000000.0,17171050000.0,0.3362126018170426,173005.0,0.05928077028508772,0.26348347039473685,1459200000.0,384475080.0,0.26348347039473685,2141684.0,0.2523666101055807,5875200000.0,1965646500.0,1965646500.0,0.3345667381535948,2120475.0,0.2598621323529412,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,21209.0,0.06497855392156862,0.2598621323529412,163200000.0,42409500.0,0.2598621323529412
20260422_101055,shd,bp,5,lif,500,1,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.03336915808419386,0.6032072368421053,0.6043006254574333,0.6048604979945142,0.5963845044272624,0.03407475666380396,0.5808823529411765,0.637457625409035,0.5760756906353046,0.5491171368648242,0.5808823529411765,0.5574915009262843,23.823193311691284,4.087785959243774,38.21899104118347,306.2561724846296,199.6190622835245,3.265240311361196,5.009541616720312,1594.8203125,1594.8125,65.76220703125,138.0,84.8115234375,138.0,,./result/2layers/lif/SHD_lif_BP_20260422_101055_best_eval_confusion.csv,./result/2layers/lif/SHD_lif_BP_20260422_101055_final_eval_confusion.csv,./result/2layers/lif/SHD_lif_BP_20260422_101055_best_model.pth,./result/2layers/lif/SHD_lif_BP_20260422_101055_final_model.pth,0.0,0.0,19460767.0,0.25647308061319163,52531200000.0,17559095020.0,17559095020.0,0.3342603066368177,19285476.0,0.2643294407894737,0.3362583313753133,51072000000.0,17173385500.0,0.3362583313753133,175291.0,0.06006407620614035,0.2643294407894737,1459200000.0,385709520.0,0.2643294407894737,2171671.0,0.25590014611613876,5875200000.0,1966282300.0,1966282300.0,0.3346749557461874,2152265.0,0.2637579656862745,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,19406.0,0.0594546568627451,0.2637579656862745,163200000.0,43045300.0,0.2637579656862745
20260422_101055,shd,bp,6,lif,500,1,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.03236101989291216,0.6352796052631579,0.6351907605528854,0.6372697316359621,0.6314193573284645,0.03389169757857042,0.5625,0.6515031601010209,0.5621572486076636,0.5340122795893854,0.5808823529411765,0.5574915009262843,23.75650906562805,4.3248162269592285,38.157042026519775,307.11583001713706,188.67853734763855,3.2561004750038447,5.300019885979447,1594.83984375,1594.57421875,65.76220703125,138.0,84.8115234375,138.0,,./result/2layers/lif/SHD_lif_BP_20260422_101055_best_eval_confusion.csv,./result/2layers/lif/SHD_lif_BP_20260422_101055_final_eval_confusion.csv,./result/2layers/lif/SHD_lif_BP_20260422_101055_best_model.pth,./result/2layers/lif/SHD_lif_BP_20260422_101055_final_model.pth,0.0,0.0,19428351.0,0.25604587076163965,52531200000.0,17560966300.0,17560966300.0,0.3342959288955897,19251865.0,0.2638687637061404,0.3363081336152882,51072000000.0,17175929000.0,0.3363081336152882,176486.0,0.06047354714912281,0.2638687637061404,1459200000.0,385037300.0,0.2638687637061404,2200161.0,0.25925728223981903,5875200000.0,1966895840.0,1966895840.0,0.3347793845315904,2182942.0,0.26751740196078433,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,17219.0,0.05275428921568628,0.26751740196078433,163200000.0,43658840.0,0.26751740196078433
20260422_101055,shd,bp,7,lif,500,1,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.030739977498326385,0.6772203947368421,0.6804247963065521,0.6795796520616801,0.6733650332313883,0.03175704641377225,0.6421568627450981,0.6800303832866907,0.6303570403656078,0.6121179427101371,0.6421568627450981,0.6121179427101371,24.284672498703003,4.353150367736816,38.57375454902649,300.43641726647394,187.4504510682076,3.328491296423109,5.334743097716687,1594.5859375,1594.76171875,65.76220703125,138.0,84.8115234375,138.0,,./result/2layers/lif/SHD_lif_BP_20260422_101055_best_eval_confusion.csv,./result/2layers/lif/SHD_lif_BP_20260422_101055_final_eval_confusion.csv,./result/2layers/lif/SHD_lif_BP_20260422_101055_best_model.pth,./result/2layers/lif/SHD_lif_BP_20260422_101055_final_model.pth,0.0,0.0,19659952.0,0.25909813596491227,52531200000.0,17566997840.0,17566997840.0,0.3344107471369396,19483017.0,0.2670369654605263,0.3363357123276942,51072000000.0,17177337500.0,0.3363357123276942,176935.0,0.060627398574561404,0.2670369654605263,1459200000.0,389660340.0,0.2670369654605263,2193197.0,0.2584366751508296,5875200000.0,1966709660.0,1966709660.0,0.33474769539760346,2173633.0,0.2663765931372549,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,19564.0,0.059938725490196076,0.2663765931372549,163200000.0,43472660.0,0.2663765931372549
20260422_101055,shd,bp,8,lif,500,1,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.02947464346754969,0.7232730263157895,0.7263732767331551,0.7251844299549817,0.7207656689718073,0.03134849879379366,0.6568627450980392,0.689948109139315,0.6537749320629977,0.6476781187698437,0.6568627450980392,0.6476781187698437,24.294657468795776,4.527983665466309,38.33244752883911,300.31293955763863,180.21266424245488,3.3298598504380177,5.548999590032241,1594.77734375,1594.4375,65.76220703125,138.0,84.8115234375,138.0,,./result/2layers/lif/SHD_lif_BP_20260422_101055_best_eval_confusion.csv,./result/2layers/lif/SHD_lif_BP_20260422_101055_final_eval_confusion.csv,./result/2layers/lif/SHD_lif_BP_20260422_101055_best_model.pth,./result/2layers/lif/SHD_lif_BP_20260422_101055_final_model.pth,0.0,0.0,19788869.0,0.2607971306722335,52531200000.0,17564363580.0,17564363580.0,0.33436060055738304,19610029.0,0.2687778097587719,0.3362343945802005,51072000000.0,17172163000.0,0.3362343945802005,178840.0,0.06128015350877193,0.2687778097587719,1459200000.0,392200580.0,0.2687778097587719,2198424.0,0.25905260180995476,5875200000.0,1966805900.0,1966805900.0,0.33476407611655773,2178445.0,0.26696629901960783,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,19979.0,0.06121017156862745,0.26696629901960783,163200000.0,43568900.0,0.26696629901960783
20260422_101055,shd,bp,9,lif,500,1,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.028435940968624333,0.7589089912280702,0.7597054599276569,0.7607780259582084,0.7566566937255852,0.03026348089470583,0.6691176470588235,0.6905693414400844,0.6501426563148576,0.6463325379514756,0.6691176470588235,0.6476781187698437,24.12234139442444,4.465071678161621,38.47714877128601,302.4582017434831,182.75182546139263,3.3062419674375603,5.471901566374536,1598.4609375,1594.48046875,65.76220703125,138.0,84.8115234375,138.0,,./result/2layers/lif/SHD_lif_BP_20260422_101055_best_eval_confusion.csv,./result/2layers/lif/SHD_lif_BP_20260422_101055_final_eval_confusion.csv,./result/2layers/lif/SHD_lif_BP_20260422_101055_best_model.pth,./result/2layers/lif/SHD_lif_BP_20260422_101055_final_model.pth,0.0,0.0,19917789.0,0.26249616491649796,52531200000.0,17572967220.0,17572967220.0,0.33452438208150587,19738086.0,0.2705329769736842,0.33635270794172933,51072000000.0,17178205500.0,0.33635270794172933,179703.0,0.0615758634868421,0.2705329769736842,1459200000.0,394761720.0,0.2705329769736842,2204332.0,0.25974877450980394,5875200000.0,1966929240.0,1966929240.0,0.33478506944444447,2184612.0,0.2677220588235294,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,19720.0,0.06041666666666667,0.2677220588235294,163200000.0,43692240.0,0.2677220588235294
20260422_101055,shd,bp,10,lif,500,1,20,number,0.1,2.0,0.5,0.0,2.0,10.0,1.0,0.001,0.0,0.027760793275216168,0.7728892543859649,0.7742210333154549,0.7747792768944,0.7714910940859439,0.030109989146391552,0.6875,0.7140512200287458,0.6793188109370055,0.6705482827420186,0.6875,0.6705482827420186,23.841079235076904,4.3495728969573975,38.36635208129883,306.0264146627029,187.60462678319664,3.2676917811234794,5.3303589423497515,1594.51953125,1594.50390625,65.76220703125,138.0,84.8115234375,138.0,,./result/2layers/lif/SHD_lif_BP_20260422_101055_best_eval_confusion.csv,./result/2layers/lif/SHD_lif_BP_20260422_101055_final_eval_confusion.csv,./result/2layers/lif/SHD_lif_BP_20260422_101055_best_model.pth,./result/2layers/lif/SHD_lif_BP_20260422_101055_final_model.pth,0.0,0.0,19989342.0,0.2634391605516194,52531200000.0,17574725140.0,17574725140.0,0.33455784638462477,19810582.0,0.2715266173245614,0.3363587386434837,51072000000.0,17178513500.0,0.3363587386434837,178760.0,0.06125274122807017,0.2715266173245614,1459200000.0,396211640.0,0.2715266173245614,2205318.0,0.25986496040723983,5875200000.0,1966927880.0,1966927880.0,0.334784837962963,2184544.0,0.26771372549019606,0.3367011554621849,5712000000.0,1923237000.0,0.3367011554621849,20774.0,0.06364583333333333,0.26771372549019606,163200000.0,43690880.0,0.26771372549019606
