epoch,train_loss_mean,train_acc,train_macro_f1,test_acc,test_macro_f1,best_test_acc,mean_total_spikes,mean_spike_rate,mean_event_synops_est,mean_input_events,latency_mean_all,latency_mean_correct,latency_std_correct,train_speed_samples_per_s,eval_speed_samples_per_s,layer_0_loss,layer_1_loss,layer_2_loss,layer_3_loss,layer_4_loss,layer_5_loss,layer_6_loss,layer_7_loss
1,4.232674513537461,,,0.4236111111111111,0.3061063834346484,0.4236111111111111,5498.84375,0.08390569686889648,52206844.0,96487.9765625,2.4479167461395264,2.0819671154022217,2.6966590881347656,63.9890908719798,39.73672067324417,33.86188280582428,-0.0001085615413103369,-8.687928766448749e-05,-0.0002014988822338637,-0.0001573657264088979,-3.0450137273874134e-06,2.5884504339046543e-05,4.476842241274426e-05
2,2.0830372976577394,,,0.5173611111111112,0.4695706183582518,0.5173611111111112,6044.623046875,0.09223362803459167,52490420.0,96487.9765625,3.0520832538604736,2.5234899520874023,3.594521999359131,190.2401369703981,104.27398250261967,16.665148496627808,-0.00022991086370893754,-0.0001540724260848947,-0.00018730161536950618,-0.00011807108239736408,-0.00011374449059076142,-5.459382009576075e-06,-4.155550573159417e-05
3,0.9243593453078915,,,0.4895833333333333,0.4593266346797293,0.5173611111111112,6326.8984375,0.09654080867767334,52637616.0,96487.9765625,2.815972328186035,2.560283660888672,3.0466091632843018,252.57483011199471,97.8587934578882,7.395830392837524,-0.0002698455355130136,-0.0001783494917617645,-0.0001892242580652237,-0.00011808256203948986,-9.740068162500393e-05,-3.143403637295705e-05,-7.129380901460536e-05
4,1.1697744278318396,,,0.4652777777777778,0.4122752925479469,0.5173611111111112,6513.6650390625,0.09939064085483551,52734920.0,96487.9765625,3.0763888359069824,2.977612018585205,3.6023757457733154,249.28442902461313,105.1809767216604,9.359285116195679,-0.00030311599402921274,-0.00023158807744039223,-0.00020907825455651619,-0.00012542269541881979,-0.00012547479309432674,-4.528865792963188e-05,-4.972506849298952e-05
5,0.8084269946085101,,,0.5625,0.5075725601070783,0.5625,6620.47314453125,0.10102040320634842,52789136.0,96487.9765625,2.777777671813965,2.6666667461395264,3.0951974391937256,247.35458425828045,95.80886063349385,6.468486189842224,-0.0003469356815912761,-0.0002795933614834212,-0.00020186060646665283,-0.00011377534247003496,-8.374252320209052e-05,-3.356274874022347e-05,-1.0762710189737845e-05
6,0.4826336827736206,,,0.5451388888888888,0.5103585996283463,0.5625,6699.3427734375,0.10222385823726654,52829108.0,96487.9765625,2.756944417953491,2.420382261276245,2.862290382385254,238.5162198928596,105.2926909694635,3.861950099468231,-0.0003820368874585256,-0.0002783422823995352,-0.0001510017827968113,-5.296470453686197e-05,-1.7693518202577252e-05,-3.5873747492587427e-06,4.989270877331364e-06
7,0.6594811425233793,,,0.6041666666666666,0.5661998284433305,0.6041666666666666,6782.43505859375,0.10349174588918686,52872372.0,96487.9765625,3.1041667461395264,2.994252920150757,3.660125494003296,251.10816108907053,105.13825159503463,5.276585578918457,-0.00039473599463235587,-0.00022504378648591228,-8.663851986057125e-05,-2.3804112743164296e-05,-8.199724902624439e-06,4.0856818372958514e-07,1.5748390183034644e-06
8,0.48027476133671954,,,0.5486111111111112,0.502270199387716,0.6041666666666666,6878.1240234375,0.10495184361934662,52923448.0,96487.9765625,3.190972328186035,2.8987340927124023,3.362469434738159,251.85233354251798,102.3929345153219,3.8429173827171326,-0.0004284802998881787,-0.00019493816580506973,-5.554864492296474e-05,-2.8708922400255688e-05,-4.358121259429026e-06,-5.3484400268644094e-06,-1.909429073521096e-06
9,0.5202571677666086,,,0.5659722222222222,0.5173398472025474,0.6041666666666666,6948.03369140625,0.10601858049631119,52959240.0,96487.9765625,2.847222328186035,2.711656332015991,3.2194271087646484,252.90966369000424,100.67923687917254,4.162703692913055,-0.00041027398401638493,-0.00015912452363409102,-4.241458282194799e-05,-2.1956345790385967e-05,-4.999346117529058e-06,-4.489198317969567e-06,-3.092799488513265e-06
10,0.39205721531932625,,,0.6111111111111112,0.5738077104010316,0.6111111111111112,7001.85595703125,0.10683984309434891,52986796.0,96487.9765625,3.0416667461395264,2.8238637447357178,3.462083339691162,250.62091416235435,105.92750457660726,3.137105166912079,-0.0004387813023640774,-0.00014735177501279395,-3.783526426559547e-05,-1.3662646210832463e-05,-5.2379083967935e-06,-2.3847745609373305e-06,-2.1906866578547124e-06
