epoch,train_loss,test_loss,train_acc,train_macro_f1,test_acc,test_macro_f1,best_test_acc,mean_total_spikes,mean_spike_rate,mean_event_synops_est,mean_dense_synops_est,mean_event_to_dense_ratio,mean_input_events,latency_mean_all,latency_mean_correct,latency_std_correct,train_speed_samples_per_s,test_speed_samples_per_s,train_time_sec,test_time_sec,epoch_time_sec,train_latency_ms_per_sample,test_latency_ms_per_sample,train_cpu_memory_mb,test_cpu_memory_mb,train_gpu_memory_allocated_mb,train_gpu_memory_reserved_mb,test_gpu_memory_allocated_mb,test_gpu_memory_reserved_mb,lr,tau_mean,tau_response_mean,tau_refractory_mean
1,0.024461743431802616,0.017776875299215317,0.8803084935897436,0.8783904197935675,0.9239,0.9229505523310315,0.9239,513.3787841796875,0.1270739585161209,910548.875,5643999.5,0.1613304167985916,1461.5631103515625,1.4083000421524048,1.3154021501541138,0.6442665457725525,5700.7950564795165,4578.790035991223,10.524847745895386,2.183983087539673,12.724727630615234,0.17541412909825643,0.2183983087539673,1600.25,1783.3046875,53.6240234375,78.0,50.55126953125,78.0,0.0009997532801828658,nan,2.098501364390055,9.201282183329264
2,0.018789751477077857,0.01700437530875206,0.9222422542735043,0.9212175934241346,0.9281,0.9274159171622169,0.9281,468.9171142578125,0.11606859415769577,899451.3125,5643999.5,0.15936414897441864,1461.5631103515625,1.438099980354309,1.3552418947219849,0.67985999584198,5446.328155577445,4519.174824439443,11.016596555709839,2.2127933502197266,13.247535705566406,0.18360994259516397,0.22127933502197267,1777.7578125,1776.5546875,53.87451171875,80.0,50.55126953125,80.0,0.0009990133642141358,nan,2.225855906804403,8.41609493891398
3,0.01699771751394957,0.01563562523126602,0.9263989049145299,0.9255493170966455,0.9357,0.935158734635344,0.9357,407.68121337890625,0.10091119259595871,880337.5,5643999.5,0.15597757697105408,1461.5631103515625,1.4189000129699707,1.3451961278915405,0.7083538174629211,6021.057243414102,4474.983942864337,9.965027332305908,2.234644889831543,12.202842473983765,0.16608378887176514,0.2234644889831543,1783.04296875,1777.8203125,53.87451171875,80.0,50.55126953125,80.0,0.00099778098230154,nan,2.3738931814829507,7.7639773686726885
4,0.01468453718882659,0.01457625025510788,0.9331931089743589,0.9324980314065222,0.9267,0.9244804358922766,0.9357,372.5509033203125,0.09221556782722473,869958.5625,5643999.5,0.15413866937160492,1461.5631103515625,1.4005999565124512,1.2984784841537476,0.6500914096832275,5616.311099123295,4744.861152732165,10.683168888092041,2.1075432300567627,12.809100866317749,0.178052814801534,0.21075432300567626,1786.8671875,1802.88671875,53.87451171875,80.0,50.55126953125,80.0,0.000996057350657239,nan,2.5211308797200522,7.301159063975017
5,0.013768383829145987,0.013000625286996364,0.9345452724358975,0.933800621030087,0.9313,0.9307161999405988,0.9357,348.3263854980469,0.0862194150686264,862552.75,5643999.5,0.15282651782035828,1461.5631103515625,1.4187999963760376,1.3313647508621216,0.6792951226234436,5745.244541814,4128.309260984823,10.443419694900513,2.4222991466522217,12.869189739227295,0.17405699491500853,0.24222991466522217,1803.8828125,1801.94921875,53.87451171875,80.0,50.55126953125,80.0,0.0009938441702975688,nan,2.6535988648732505,6.996935685475667
6,0.01311379476573764,0.011176250238716602,0.9364817040598291,0.9358127684509683,0.9446,0.9440576322914005,0.9446,315.9634094238281,0.07820875942707062,854601.375,5643999.5,0.15141767263412476,1461.5631103515625,1.3444000482559204,1.2776837348937988,0.6203067302703857,5658.128138005512,5030.918595465497,10.60421371459961,1.987708568572998,12.595005989074707,0.17673689524332684,0.1987708568572998,1777.12890625,1775.55078125,53.87451171875,80.0,50.55126953125,80.0,0.0009911436253643444,nan,2.7824015617370605,6.771414836247762
7,0.012282151630363213,0.011145625202357769,0.9405215010683761,0.9399287581320797,0.942,0.9415861339046524,0.9446,298.49920654296875,0.07388594001531601,849080.75,5643999.5,0.1504395306110382,1461.5631103515625,1.3142000436782837,1.2468153238296509,0.5831274390220642,6232.597067260981,4190.379290756277,9.626805543899536,2.3864188194274902,12.01673412322998,0.16044675906499226,0.23864188194274902,1781.03125,1780.52734375,53.87451171875,80.0,50.55126953125,80.0,0.0009879583809693736,nan,2.906963586807251,6.600970029830933
8,0.01208057914637666,0.013411250209808349,0.940254407051282,0.9396309855941105,0.9287,0.9280212690600849,0.9446,280.0011901855469,0.06930722296237946,844752.8125,5643999.5,0.1496727168560028,1461.5631103515625,1.3839999437332153,1.3002046346664429,0.6640347242355347,5732.639583267036,5827.282906027911,10.4663827419281,1.7160656452178955,12.185570478439331,0.17443971236546835,0.17160656452178955,1781.57421875,1781.60546875,53.87451171875,80.0,50.55126953125,80.0,0.0009842915805643154,nan,3.0306992530822754,6.469879388809204
9,0.011843011503577488,0.011688750195503235,0.9413394764957265,0.940738121769467,0.933,0.9324860668229509,0.9446,275.32470703125,0.06814968585968018,843573.75,5643999.5,0.14946380257606506,1461.5631103515625,1.3387000560760498,1.2606645822525024,0.6327998042106628,5892.841926606091,5952.614717191818,10.181844472885132,1.679934024810791,11.87777304649353,0.16969740788141888,0.1679934024810791,1782.078125,1804.56640625,53.87451171875,80.0,50.55126953125,80.0,0.0009801468428384714,nan,3.149830182393392,6.370128075281779
10,0.011691519091080906,0.011208750241994858,0.9417568108974359,0.9411391448187899,0.9425,0.9417055706466388,0.9446,258.5592041015625,0.06399980187416077,837883.1875,5643999.5,0.14845556020736694,1461.5631103515625,1.3896000385284424,1.3198939561843872,0.6282914280891418,5658.1890740967365,4754.773388666389,10.60409951210022,2.103149652481079,12.722043991088867,0.176734991868337,0.21031496524810792,1791.08203125,1776.58203125,53.87451171875,80.0,50.55126953125,80.0,0.0009755282581475767,nan,3.270216782887777,6.288041989008586
